Geneid	Symbol	Young_AdLibitum.log2fpkm.mean	Young_Fast.log2fpkm.mean	Young_Refeed.log2fpkm.mean	Young_GElaS
ENSMUSG00000068079.6	Tcf15	4.77011417646313	4.32656205078354	4.86408529934992	0.708497916927958
ENSMUSG00000068663.15	Clec16a	2.0095139603191	1.87983406190338	2.2203650917464	0.150691034068289
ENSMUSG00000109336.2	Samd4b	3.6161987236717	3.82280406689643	4.15252905244139	0
ENSMUSG00000037315.16	Jade3	-0.062917561368373	0.597166598072037	-0.229787530257163	0.639187011926547
ENSMUSG00000020649.12	Rrm2	0.26836072879512	-0.185694338931735	-0.171212475862078	0.00760074099529858
ENSMUSG00000017493.13	Igfbp4	7.28653399676559	7.57446683745489	7.40508880535867	0.153652603107649
ENSMUSG00000030587.6	2200002D01Rik	1.00868728010298	1.61670527077848	1.22278466928605	0.278024241732797
ENSMUSG00000040850.18	Psme4	3.34715920769883	3.09631660294724	3.35172399552351	0.386560472930329
ENSMUSG00000025316.17	Banp	1.61731062898984	1.20050108710097	1.09238427913878	0
ENSMUSG00000039917.11	Rhbdd2	2.541162197235	2.33077801099842	2.36530893858251	0.0262235577977041
ENSMUSG00000039069.20	Mtg2	1.81571777417725	1.6632667749315	1.96075077687455	0.185696161269933
ENSMUSG00000023047.12	Amhr2	-0.304682628036921	-1.00453067516019	-1.06879419844611	0
ENSMUSG00000059824.13	Dbp	3.50872629187272	1.63858613984124	3.60901549114294	2.51264536377268
ENSMUSG00000058626.17	Capn11	-4.00626898326339	-2.39291573635998	-2.28351132279314	0.0404698148111097
ENSMUSG00000056679.14	Gpr173	-2.08179504280818	-1.39381519289877	-1.67710163087115	0.069429467129092
ENSMUSG00000050663.9	Trhde	0.653586271199803	0.0642958037360615	1.1160707467811	0.595775429344625
ENSMUSG00000032604.17	Qars	3.52168533759418	3.65537661344419	3.54306002466491	0.143497404713902
ENSMUSG00000028364.16	Tnc	0.958060958824392	0.511291222386458	0.41000624193003	0
ENSMUSG00000027423.16	Snx5	4.73210060290338	4.98614809972332	4.71021048784115	0.405960927280632
ENSMUSG00000042156.17	Dzip1	-0.6254113397916	-0.260442516399393	-0.42883714599149	0.0812892595524095
ENSMUSG00000045382.7	Cxcr4	2.50426538407517	1.97947138861427	1.93998483990192	0
ENSMUSG00000027602.10	Map1lc3a	7.60733477477949	7.35354368944697	7.50260161642651	0.145375025046404
ENSMUSG00000118590.2	Gm15433	-2.47041908764249	-1.99480342971046	-2.48454982357223	0.0868053857010387
ENSMUSG00000030862.14	Cpxm2	-0.251536301114834	0.203119840923985	0.101248276967739	0.0440883074273437
ENSMUSG00000025340.15	Rabgef1	2.68773219938833	2.93652777806306	2.6381344181908	0.384592638727785
ENSMUSG00000037730.14	Mynn	1.53189221667579	1.69900293437378	1.48408432832573	0.231959638260036
ENSMUSG00000053644.14	Aldh7a1	3.87777843726593	3.60783226854906	3.60509195330606	0
ENSMUSG00000059970.8	Hspa2	2.08151949375556	1.65217632689082	1.86606788508579	0.153578095553237
ENSMUSG00000020755.10	Sap30bp	2.98051323116744	3.15390840818802	3.16149932998244	0
ENSMUSG00000020949.10	Fkbp3	2.62341304691903	2.45034868015769	2.52140102256218	0.0592049399266663
ENSMUSG00000002307.17	Daxx	3.7315611090959	4.0066633502823	3.5614263280529	0.402295178783159
ENSMUSG00000040943.13	Tet2	0.391755373582806	0.65737589817626	0.256280419102128	0.30206659950751
ENSMUSG00000052137.12	Rbm12b2	1.86961916622489	1.61039021115084	1.68515569896173	0.0473771598783576
ENSMUSG00000026698.9	Pigc	2.8225415034714	2.63681406201256	2.81015323163265	0.230430959437705
ENSMUSG00000047409.14	Ctdspl	4.69379120858491	4.9243130037053	4.25857193657243	0.289373011760433
ENSMUSG00000028745.19	Capzb	5.90086213090592	5.74025973403325	5.87450296043001	0.168702880262168
ENSMUSG00000079039.2	Gm11037	1.24324764624468	1.47869852290714	1.06514611266682	0.25379243498118
ENSMUSG00000028497.13	Hacd4	0.625975841564836	1.09814141141481	0.509303441579311	0.551741253515711
ENSMUSG00000029217.17	Tec	-0.0647079068848705	0.488610851297258	0.341210930461005	0.0681442232374115
