Geneid	Symbol	Young_AdLibitum.log2fpkm.mean	Young_Fast.log2fpkm.mean	Young_Refeed.log2fpkm.mean	Young_GElaS
ENSMUSG00000003031.15	Cdkn1b	2.990993232399	2.82680405706886	2.61790576972617	0
ENSMUSG00000094806.3	Cyp2d10	8.93879725120284	9.02893637562264	8.94917280852766	0.0162643797341855
ENSMUSG00000021540.17	Smad5	1.59429939871627	1.69845235583245	1.5814774244488	0.04166376545395
ENSMUSG00000045441.6	Gprin3	0.300784901163161	0.51125865422361	0.244604213038028	0.0527681432218279
ENSMUSG00000039753.17	Fbxl5	1.25075287987761	1.33723645216201	1.23598739169013	0.0331514928407724
ENSMUSG00000034247.10	Plekhm1	1.61611457526384	1.70586006634068	1.2905100504909	0.082224460752859
ENSMUSG00000020170.5	Frs2	1.13195658449713	1.2228694433439	0.972986266833597	0.0643864745837308
ENSMUSG00000027406.14	Idh3b	5.58151245296471	5.68279965087491	5.73684706957832	0
ENSMUSG00000059895.14	Ptp4a3	0.0379814783024405	0.16554732464159	0.241473202832614	0
ENSMUSG00000031486.16	Adgra2	0.347452422088756	0.244167385464252	0.1639649210928	0
ENSMUSG00000029032.13	Arhgef16	0.00144580912090273	-0.0470868460529544	0.451419013299558	0.0364354447399353
ENSMUSG00000022354.5	Ndufb9	6.34430087811986	6.15484915476209	6.11991278371356	0
ENSMUSG00000018599.6	Mief2	3.3407471004609	3.19866913570871	3.0730620926893	0
ENSMUSG00000047649.10	Cd3eap	1.48891949379235	1.57948611163261	1.68597583061678	0
ENSMUSG00000005936.20	Kctd20	2.25691959022248	2.31630206831838	2.26648442946776	0.0167247636710589
ENSMUSG00000020329.13	Polrmt	2.5268686484439	2.59851181105906	2.56046095736496	0.00956697816783454
ENSMUSG00000040681.17	Hmgn1	3.9437150545742	4.09293355999519	4.2600642618518	0
ENSMUSG00000022676.8	Snai2	1.37547608790624	1.32247853154083	1.10133021236587	0
ENSMUSG00000006471.19	Ndor1	0.0899065620814962	0.0241574724690588	-0.304027978112154	0
ENSMUSG00000043789.9	Vwce	3.18184121381779	3.39598593160512	3.30592535416254	0.0219738685228285
ENSMUSG00000050608.12	Micos10	4.28679495945209	4.12202072137902	4.08520159040655	0
ENSMUSG00000035960.15	Apex1	4.14071445487869	3.98236128481228	4.39204550369231	0.136252324471069
ENSMUSG00000021134.18	Srsf5	6.48663395330365	6.64640329907645	6.4183385596997	0.0558044653760837
ENSMUSG00000019996.18	Map7	2.74120935352819	2.8473229586976	2.55438293120499	0.104241773027422
ENSMUSG00000030718.10	Ppme1	3.14262799262934	3.24083885459457	3.13965564734445	0.0419953064567493
ENSMUSG00000017929.14	B4galt5	3.25727629786654	3.07063775833757	3.15036276488545	0.0195946579140317
ENSMUSG00000002602.17	Axl	1.47994552875787	1.65483287456704	1.24829002217809	0.107973906919298
ENSMUSG00000028995.15	Fam126a	-0.378111458637373	-0.48310101028066	-0.594868776196241	0
ENSMUSG00000027167.12	Elp4	1.38281221318042	1.31874252252205	1.40132925071423	0.0119824386763871
ENSMUSG00000020962.15	Gtf2a1	2.39615704994321	2.48883620293673	2.40463465964461	0.0300965141604101
ENSMUSG00000038371.16	Sbf2	0.319330142342285	0.422820437901508	0.348578153183808	0.0161949079060523
ENSMUSG00000029535.5	Triap1	3.40370617832469	3.59393052148743	3.79845805066561	0
ENSMUSG00000025127.16	Gcgr	7.28862796559068	7.18621745884857	7.006804831967	0
ENSMUSG00000021646.10	Mccc2	4.51142451581529	4.61315440271362	4.56558278187889	0.0119936147806631
ENSMUSG00000006740.15	Kif5b	2.35949255922088	2.23662667611124	2.45589063268711	0.0690361111275848
ENSMUSG00000051065.10	Mb21d2	2.06388334552887	2.28323028548561	2.14535443594668	0.0328808623028562
ENSMUSG00000001383.10	Zmat2	4.10961765209632	4.01152340209057	4.2807245183347	0.0987489498612617
ENSMUSG00000031590.9	Frg1	3.2147669929521	3.30535863472229	3.34758503684662	0
ENSMUSG00000040532.15	Abhd11	4.1493268888576	4.02691045620935	4.1281485265878	0.0356242386149243
ENSMUSG00000036955.17	Kifbp	1.37680023079538	1.49092854620031	1.43389032025922	0.0104870998343243
ENSMUSG00000071644.11	Eef1g	5.85161928595234	5.96446104735587	6.32724733388049	0
ENSMUSG00000026409.15	Pfkfb2	0.717825776128255	0.868012765422721	0.320310554776435	0.0852936194910789
ENSMUSG00000085793.3	Lin52	1.58184843322763	1.45823929400543	1.63431877157562	0.035297514114996
