Geneid	Symbol	Aged_AdLibitum.log2fpkm.mean	Aged_Fast.log2fpkm.mean	Aged_Refeed.log2fpkm.mean	Aged_GElaS
ENSMUSG00000030378.16	Sult2a8	7.41710955977485	8.04171306574769	7.68904910915963	0.215671701833622
ENSMUSG00000006519.12	Cyba	2.68566484586649	2.11161316292979	2.36593254385133	0.274621988608476
ENSMUSG00000020107.11	Anapc16	2.59967806080369	2.66087040361242	2.49478224448217	0.0282536276978638
ENSMUSG00000000439.10	Mkrn2	1.50985620395595	1.69094227984763	1.66723328288	0.00679698814519332
ENSMUSG00000030921.18	Trim30a	0.896238895108376	0.334531256115561	0.47824187782425	0.107684675318184
ENSMUSG00000079020.10	Slc45a4	-0.126906309355077	-0.0550589460457998	-0.249040774207479	0.0204092408631329
ENSMUSG00000026170.7	Cyp27a1	7.60018888906514	7.8966593627719	7.24538258978693	0.392229567686709
ENSMUSG00000042595.8	Fam199x	-0.0187730315948811	0.131795018071218	-0.389588834831447	0.0925345534538957
ENSMUSG00000074781.6	Ube2n	3.35718257607475	3.05968958833332	3.43510292229545	0.507725701955573
ENSMUSG00000061740.9	Cyp2d22	5.8176016404464	6.08502924612619	5.83496537245599	0.123825351810017
ENSMUSG00000030087.12	Klf15	5.45192510658227	5.70632390221231	5.40750457924831	0.155780655529942
ENSMUSG00000031229.17	Atrx	0.98149468465297	1.03820350007992	0.63803745330101	0.0435467953600966
ENSMUSG00000027198.17	Ext2	1.82754563932473	1.99852524210592	1.99574340970007	1.76608418409729e-05
ENSMUSG00000006463.14	Zdhhc24	0.829504079902097	0.604463242141543	0.437416069564138	0
ENSMUSG00000032479.16	Map4	1.06902440131318	0.773396109559389	1.06508944804954	0.271244457956013
ENSMUSG00000038418.8	Egr1	2.93373866204106	2.5427535206656	2.05655201724277	0
ENSMUSG00000027314.7	Dll4	0.162964117685483	0.0360551284651763	-0.00919694938652218	0
ENSMUSG00000072501.6	Phf20l1	1.11735678660027	1.18213304135049	0.85928813903451	0.0441088016877871
ENSMUSG00000025607.16	Copg2	2.2390670205461	2.31862887793044	2.37519937373975	0
ENSMUSG00000018923.14	Med11	2.90570255369076	2.74074149755675	3.06782375845031	0.139082054026173
ENSMUSG00000068922.15	Msto1	0.721865886494394	0.658664541798694	0.949375059067965	0.0403646462145495
ENSMUSG00000028673.11	Fuca1	4.22941307783566	4.51586478951617	4.56612183902885	0
ENSMUSG00000031505.12	Naxd	3.42312859468783	3.43796175196167	3.58230995458164	0
ENSMUSG00000020228.12	Helb	1.73831821694722	1.41592875122237	1.26940847663541	0
ENSMUSG00000038482.12	Tfdp1	2.97767950467729	2.90153225897035	2.81149821185696	0
ENSMUSG00000018239.10	Zcchc10	1.78494376144176	1.52496575831715	1.8340926659953	0.210450346914506
ENSMUSG00000047153.5	Khnyn	3.13735799039752	3.17644838305062	2.13238825642936	0.0316697040662742
ENSMUSG00000058748.10	Zfp958	1.31230401367943	1.14837916303209	1.17168510825561	0.00511627980722649
ENSMUSG00000038880.14	Mrps34	4.54233558414233	4.29414505238929	4.9735064017031	0.277144799259978
ENSMUSG00000038085.14	Cnbd2	0.579930935476521	0.402429281907319	0.560453965583191	0.0236409341220323
ENSMUSG00000049643.16	2310022A10Rik	0.497825076430033	0.349796588385352	0.277242458573219	0
ENSMUSG00000042302.15	Ehbp1	0.730178518637191	0.685630646835972	0.406616963623454	0
ENSMUSG00000036561.10	Ppp6r2	1.73768967664001	2.01268431173413	1.55046992439098	0.385073140934158
ENSMUSG00000063849.7	Ppcdc	1.85193349256194	1.7744441094797	1.87121579866767	0.0135721186774791
ENSMUSG00000052763.8	Zfp212	1.57616993306469	1.59449730539025	1.44778074588731	0.00481233052365112
ENSMUSG00000024887.11	Asah2	0.460324673765222	0.710597181501071	0.179289668323881	0.237129366994149
ENSMUSG00000020829.10	Slc46a1	3.47830626232316	3.23024840637376	3.54210740070932	0.230291805630017
ENSMUSG00000024013.16	Fgd2	-0.191645217722163	-0.520750742640156	-0.97147246151242	0
ENSMUSG00000074240.6	Cib3	1.14368832511036	0.970526164172954	0.802211519859459	0
ENSMUSG00000028459.12	Cd72	0.518653812863841	0.195696553194059	0.0698904904315375	0
ENSMUSG00000037206.16	Islr	0.348534990109242	0.751943335548514	0.367237561866368	0.274218258844045
ENSMUSG00000029227.16	Fip1l1	1.55283979852462	1.62083766938356	1.44707282242985	0.0455097753886227
ENSMUSG00000021335.14	Slc17a1	2.15321102560233	2.65162053132923	2.53296245224291	0.114779423910106
ENSMUSG00000063727.4	Tnfrsf11b	0.301692130618523	0.366884680308591	-0.441404807501479	0.0353290987905644
ENSMUSG00000030538.16	Cib1	4.53968347380215	4.08065084224055	4.50795744746733	0.809570502087442
ENSMUSG00000027082.16	Tfpi	-0.133570529310834	-0.134388398347632	-0.619713406552744	0.00357865089127112
ENSMUSG00000027300.11	Ubox5	-0.0383411741390416	0.100529008398576	0.112161115989335	0
ENSMUSG00000003234.17	Abcf3	3.85341329351681	3.86162450806159	4.07038134544588	0
ENSMUSG00000029050.16	Ski	2.60865022765712	2.94807955337674	2.31310561217167	0.478513469212525
ENSMUSG00000039497.9	Dse	0.198767341310628	0.151656732224361	0.0435932964718611	0
ENSMUSG00000044098.15	Rsbn1	0.448205785371279	0.7397988251345	-0.0964954702394522	0.248509497747481
ENSMUSG00000035199.7	Arl6ip5	4.65107328478528	4.39391591320249	4.45075239766018	0.057586880838818
ENSMUSG00000033565.19	Rbfox2	2.19126428092278	2.20416936416541	1.94258824432057	0.00524245958316485
ENSMUSG00000000078.8	Klf6	1.71248071271666	1.33600319238483	0.947365271189468	0
ENSMUSG00000029635.16	Cdk8	1.60240499995044	1.88940590724431	1.62280629173024	0.288627624081935
ENSMUSG00000073910.11	Mob3b	2.65118995210106	2.63606135948738	2.31814932041098	0
ENSMUSG00000028464.17	Tpm2	1.45455703090933	1.62963675277194	1.73491888453015	0
ENSMUSG00000040842.18	Szrd1	4.6796459058074	4.7061651698781	4.92319980996865	0
ENSMUSG00000051615.15	Rap2a	1.92860647671853	2.39988907132534	2.59455485568645	0
ENSMUSG00000044456.17	Rin3	1.79494762100874	1.84480113097777	2.16684062067951	0
ENSMUSG00000034930.17	Rtkn	2.10737512771368	1.41914072866524	2.33391645200487	1.0469816417479
ENSMUSG00000036850.5	Mrpl41	4.27908958271018	4.09619887827825	4.62033237943571	0.195084586685721
ENSMUSG00000000563.18	Atp5pb	6.21810338691664	6.29916266338207	6.44302026826824	0
ENSMUSG00000011884.14	Gltp	1.0652419989573	0.924535528014356	0.731080447904558	0
ENSMUSG00000023892.9	Zfp51	1.15556240283526	0.901500235275045	1.05514404420637	0.110218806789023
ENSMUSG00000117679.2	Apbb3	2.95510900973253	2.71193229495291	2.67859107039949	0
ENSMUSG00000002111.9	Spi1	0.776939984200079	-0.0227267870691109	0.0962908441821977	0.0812467304360334
ENSMUSG00000062116.11	Zfp954	1.40856534417618	1.499062624499	1.21083229644249	0.0444649927145209
ENSMUSG00000033257.15	Ttll4	0.994425599466412	0.859954455373532	0.629877011721443	0
ENSMUSG00000021213.13	Akr1c13	5.58690737081855	5.74685365863208	6.05482628010237	0
ENSMUSG00000032324.12	Tspan3	-0.219689524301185	-0.106330849826786	-0.473434520154806	0.0541913117756342
ENSMUSG00000043418.5	Lrit2	0.881660179402551	1.540923342034	1.29488729999255	0.152127859215833
ENSMUSG00000012076.9	Brms1l	0.842938497802493	0.612569930605632	0.399436258849928	0
ENSMUSG00000033272.13	Slc35a4	2.46277204688715	2.31328982831615	2.49730654113142	0.0872578520049966
ENSMUSG00000091144.3	Phf11c	1.77621844586213	1.50939015493273	1.31162668280318	0
ENSMUSG00000032431.7	Crtap	1.53799402180078	1.34049594191384	1.2923910243082	0
ENSMUSG00000039754.11	Alkbh4	1.06886368335431	1.14788464300671	1.25038659554051	0
ENSMUSG00000036529.18	Sbf1	2.66691346870327	2.79055955957237	2.33559802854591	0.128100444837215
ENSMUSG00000025586.18	Cpeb1	0.503512288220048	0.248417931060745	0.559073405208095	0.118057280699826
ENSMUSG00000029001.16	Fbxo44	0.46231811966467	0.492129422091471	0.0963649184941844	0.0149534860442072
ENSMUSG00000034845.7	Plvap	4.39006123879953	4.45774774445646	3.72727872300863	0.0645921956357295
ENSMUSG00000020224.16	Llph	3.1452909164682	2.95204960390978	3.36028360255799	0.219718948580763
ENSMUSG00000000058.7	Cav2	0.738009802905716	0.176170690504295	0.221208821299662	0.0400681571839307
ENSMUSG00000028957.13	Per3	-0.86302858214104	-1.18484066527657	1.28838811590176	0.59637533923016
ENSMUSG00000027207.16	Galk2	0.900709166166302	0.684733508355826	0.800609576753379	0.0445105827052188
ENSMUSG00000024145.7	Pigf	2.30188513316098	1.92354406727135	2.09132979428063	0.0975141261695798
ENSMUSG00000036160.14	Surf6	1.72106790386684	1.78802846983954	1.71803472377344	0.00839853298830285
ENSMUSG00000052962.4	Mrpl35	2.55048031245965	2.19465073681081	2.78776115278227	0.462470848309629
ENSMUSG00000028959.15	Fastk	3.62909832936699	3.30487549917289	3.52475459048002	0.226959627395933
ENSMUSG00000025608.10	Podxl	-0.791017782316909	-0.461702766819856	-0.173439565424091	0
ENSMUSG00000006024.14	Napa	4.3387838998191	4.31415336166871	4.37270484276363	0.0028309328087193
ENSMUSG00000032300.8	1700017B05Rik	1.13345432416247	1.04985727098207	1.05764073290683	0.00074740165803641
ENSMUSG00000039981.7	Zc3h12d	0.0689812808478529	-0.363931558188116	-0.550350989354736	0
ENSMUSG00000022809.5	Nr1i2	5.00075232516968	5.3385579433437	4.91864237333377	0.35539257576367
ENSMUSG00000048047.4	Zbtb33	2.03822939129602	2.01088580845454	1.91189624513156	0
ENSMUSG00000031955.11	Bcar1	2.93198313618432	2.95645143201045	3.15748321336473	0
ENSMUSG00000026272.7	Agxt	7.33449212055999	7.36787690022897	7.66383230204772	0
ENSMUSG00000024826.16	Dpf2	2.15675405023582	2.28326945131706	2.16025666536153	0.115560889335101
ENSMUSG00000021013.17	Ttc8	0.391029863557006	0.310698446289066	0.432339337396788	0.0151134819824819
ENSMUSG00000032050.19	Rdx	4.88678690136167	5.27096262136517	5.10234369520178	0.188388169502444
ENSMUSG00000057594.13	Arl16	1.01265797728211	0.906271571354886	1.12824914982529	0.0401934382600189
ENSMUSG00000039463.15	Slc9a8	2.10894038998746	1.97620994155707	2.23423492003471	0.146599097174656
ENSMUSG00000040734.15	Ppp1r13l	0.650070746325429	0.721275932964535	0.527383416541121	0.022214654416904
ENSMUSG00000021287.13	Xrcc3	0.228534609907261	0.740029238189801	0.206871636016534	0.390257958972832
ENSMUSG00000042814.9	Mcts2	2.54063430612974	2.2456734719977	2.92858088764514	0.319027780722982
ENSMUSG00000021211.5	Akr1c12	5.56748333879446	5.77033034804592	5.98379650689685	0
ENSMUSG00000029714.12	Gigyf1	3.33687351296151	3.56755222445886	2.80290802536539	0.23780822390221
ENSMUSG00000071267.12	Zfp942	1.29197459515673	1.20402726719477	1.17257619722999	0
ENSMUSG00000059866.14	Tnip2	2.03778575544962	1.42483714164574	1.04571408507495	0
ENSMUSG00000024639.6	Gnaq	1.39660609921936	1.69985193491891	1.38491812413307	0.441350911279496
ENSMUSG00000042042.15	Csgalnact2	1.15532129422447	1.18438603236201	0.75289544621553	0.0143757055685499
ENSMUSG00000042507.16	Mideas	1.02022289928633	1.02098709736099	0.548426424956313	0.00178846249175811
ENSMUSG00000017639.14	Rab11fip4	0.99337212786851	0.914116405369893	0.227841477990941	0
ENSMUSG00000044134.10	Pheta1	1.99516265102973	1.75263991812896	1.654470146145	0
ENSMUSG00000021922.18	Itih4	9.67214885001712	8.57557003660976	9.02330472847283	0.505120918779779
ENSMUSG00000037344.15	Slc12a9	2.35330094289873	2.31614595549976	2.02578306296388	0
ENSMUSG00000034729.17	Mrps10	1.8776251730174	2.01375081306075	2.13926796541276	0
ENSMUSG00000059481.6	Plg	9.29601410845371	9.24760511930862	9.03990364261439	0
ENSMUSG00000020372.16	Rack1	5.8639336166036	5.66833555740315	6.1485319318506	0.217200997936964
ENSMUSG00000034641.3	Cd300ld	0.392654818329146	-0.0737724847668273	0.180876013061268	0.0831581753074582
ENSMUSG00000022174.9	Dad1	4.32818693929313	3.83229193047181	4.41828325163991	0.852141647302101
ENSMUSG00000026121.14	Sema4c	0.166321874682305	-0.0799661337802651	-0.881236411498292	0
ENSMUSG00000026142.16	Rhbdd1	1.61897826780764	1.5039657342493	1.52494132504254	0.00350930739048048
ENSMUSG00000017978.19	Cadps2	0.64731447808801	0.412424151121042	0.376836577922081	0
ENSMUSG00000031556.7	Tm2d2	4.14286785520304	4.30246562907978	4.60824418966038	0
ENSMUSG00000039195.5	1110008P14Rik	2.75447275841333	2.23268594760245	2.82245947811527	0.669055364565152
ENSMUSG00000032554.16	Trf	12.0954899719756	11.7550565431324	11.9714495748989	0.139477672018382
ENSMUSG00000028799.16	Zfp362	1.16693592071237	1.27552877661464	1.19077058492357	0.0140674336655174
ENSMUSG00000030259.13	Rassf8	2.41140204747423	2.60565668806055	2.45199444214129	0.0703807705664392
ENSMUSG00000044533.16	Rps2	8.47665600907686	8.25568775565628	8.76606054778313	0.248762135521121
ENSMUSG00000038039.14	Gcc2	1.00564754467845	1.17334405387519	0.828540328299265	0.167669560143951
ENSMUSG00000045519.16	Zfp560	0.0478692814948233	-0.00695718459439325	0.041825383848191	0.00167000288321732
ENSMUSG00000041671.14	Pyroxd1	1.11535810011905	0.775602750467773	1.03400338480093	0.334215075224001
ENSMUSG00000024767.12	Otub1	4.15684198603467	4.08779072950491	4.32800203893478	0.0486894971681361
