Geneid	Symbol	Aged_GElaS
ENSMUSG00000025086.14	Trub1	0.711946312073912
ENSMUSG00000021112.10	Mpp5	0.160926066542698
ENSMUSG00000052430.16	Bmpr1b	0.915096379332121
ENSMUSG00000048489.13	Depp1	4.80962286139156
ENSMUSG00000050947.10	Amigo1	1.06579511258114
ENSMUSG00000037243.18	Zfp692	0.0354981142479071
ENSMUSG00000002104.12	Rapsn	0.474020552377872
ENSMUSG00000032425.16	Zfp949	0.874399433615981
ENSMUSG00000022257.5	Laptm4b	0.536128152737664
ENSMUSG00000072949.7	Acot1	0.170816582403305
ENSMUSG00000009291.14	Pttg1ip	0.114362650456813
ENSMUSG00000031706.8	Rfx1	0.508060945110499
ENSMUSG00000046567.11	4930430F08Rik	0.120765087735567
ENSMUSG00000027496.16	Aurka	0.592472933453849
ENSMUSG00000024900.6	Cpt1a	0.605262095671297
ENSMUSG00000030245.11	Golt1b	0.0640317987332046
ENSMUSG00000002289.17	Angptl4	2.39617669725916
ENSMUSG00000026439.15	Rbbp5	0
ENSMUSG00000025898.7	Cwf19l2	0.234081867733667
ENSMUSG00000060862.11	Zbtb40	0.585065119892589
ENSMUSG00000027937.16	Jtb	0.535061639097215
ENSMUSG00000020641.17	Rsad2	0.344228154376623
ENSMUSG00000032547.13	Ryk	0.408110398973116
ENSMUSG00000036622.16	Atp13a2	0.0258404356243745
ENSMUSG00000066406.17	Akap13	0.787089617911978
ENSMUSG00000006456.11	Rbm14	0
ENSMUSG00000032643.13	Fhl3	0.860410087097511
ENSMUSG00000028901.14	Gmeb1	0.0473955163139423
ENSMUSG00000046822.15	Slc39a3	0
ENSMUSG00000027387.12	Zc3h8	0.628768049358303
ENSMUSG00000037348.16	Paqr7	0.403232569014128
ENSMUSG00000032594.12	Ip6k1	0.527845985138339
ENSMUSG00000027827.18	Kcnab1	0.609739049220787
ENSMUSG00000017119.20	Nbr1	0.130660969280147
ENSMUSG00000028475.10	Spaar	0.945633203111547
ENSMUSG00000045466.19	Zfp956	0.675702074885283
ENSMUSG00000020034.8	Tcp11l2	0.586532167628205
ENSMUSG00000020268.15	Lyrm7	0
ENSMUSG00000022361.15	Zhx1	0.433395168469955
ENSMUSG00000028557.11	Rnf11	0.0451470544654211
ENSMUSG00000024269.12	Tpgs2	0.0346263799904053
ENSMUSG00000012296.17	Tjap1	0.0433632662568312
ENSMUSG00000037369.18	Kdm6a	0.70256908400767
ENSMUSG00000024991.9	Eif3a	0.230025094588084
ENSMUSG00000022270.17	Retreg1	0.728612693654403
ENSMUSG00000030304.12	Ergic2	0.0552066008596125
ENSMUSG00000020277.11	Pfkl	0.178784762829657
ENSMUSG00000002820.7	Atg4d	0.343302484112263
ENSMUSG00000036002.13	Fam214b	0.0225326784165998
ENSMUSG00000038058.15	Nod1	0
ENSMUSG00000037355.15	Uvssa	0.645317546191439
ENSMUSG00000025982.14	Sf3b1	0.102510782167975
ENSMUSG00000042712.11	Tceal9	0.164597074286928
ENSMUSG00000009471.5	Myod1	1.7410248639362
ENSMUSG00000060548.14	Tnfrsf19	1.45131066847823
ENSMUSG00000042185.15	Nfrkb	0.450727598124815
ENSMUSG00000047963.8	Stbd1	1.36085376656524
ENSMUSG00000018932.10	Map2k3	0.158891451122441
ENSMUSG00000017817.12	Jph2	0.115661306872134
ENSMUSG00000042272.18	Sestd1	0.158160960574131
ENSMUSG00000040170.14	Fmo2	0.700037229978192
ENSMUSG00000087408.11	Cers1	0.970156794450006
ENSMUSG00000051373.6	Plpp7	0.927322455888553
ENSMUSG00000052369.9	Tmem106c	0.105280320764556
ENSMUSG00000039936.19	Pik3cd	0.385655183499913
ENSMUSG00000027293.14	Ehd4	0.128341283027732
ENSMUSG00000042675.16	Ypel3	0.0244880978867267
ENSMUSG00000000378.16	Ccm2	0.362879044226903
ENSMUSG00000021585.11	Cast	0.0626378279552157
ENSMUSG00000034771.16	Tle2	0.113696401725711
ENSMUSG00000077450.14	Rab11b	0.0837688789948482
ENSMUSG00000055912.9	Tmem150a	0.673120881328255
ENSMUSG00000042032.14	Mat2b	0.0106793490818637
ENSMUSG00000039849.7	Pcif1	0.406416092009385
ENSMUSG00000020196.11	Cabin1	0.390088926396479
ENSMUSG00000020802.9	Ube2o	0.0127813863745139
ENSMUSG00000021518.5	Ptdss1	0.0899899350576388
ENSMUSG00000032575.17	Manf	0.871192782496878
ENSMUSG00000004508.7	Gab2	0.489216383548721
ENSMUSG00000036944.7	Tmem71	0.717450466987916
ENSMUSG00000035372.3	1810055G02Rik	0.542877055153743
ENSMUSG00000039480.15	Nt5dc1	0.0179241880664945
ENSMUSG00000048731.16	Ggnbp1	0
ENSMUSG00000070002.8	Ell	0.716345868060142
ENSMUSG00000003199.17	Mpnd	0.251175770900491
ENSMUSG00000033684.15	Qsox1	0.213768542275854
ENSMUSG00000042246.6	Tmc7	0.207146123078951
ENSMUSG00000023055.11	Calcoco1	0.109100638305169
ENSMUSG00000038403.11	Hjv	0.0965620756298625
ENSMUSG00000024018.19	Ccdc167	0
ENSMUSG00000014426.10	Map3k4	0.172131427586273
ENSMUSG00000050503.10	Fbxl22	0.0698450311421964
ENSMUSG00000025245.15	Lztfl1	0.196127770923786
ENSMUSG00000018796.14	Acsl1	0.521870191335291
ENSMUSG00000026172.13	Bcs1l	0.286993763568963
ENSMUSG00000020032.15	Nuak1	0.376580716165547
ENSMUSG00000054509.8	Parp4	0.799933272816395
ENSMUSG00000028988.14	Ctnnbip1	0.197335037472915
ENSMUSG00000070738.11	Dgkd	0.327562067999194
ENSMUSG00000096606.3	Tpbgl	0.19910290238751
ENSMUSG00000046201.10	Scaf8	0.51446527477336
ENSMUSG00000032076.21	Cadm1	0.431744236162316
ENSMUSG00000026173.16	Plcd4	0.725296886968031
ENSMUSG00000036241.4	Ube2r2	0.284617313989413
ENSMUSG00000109901.3	Chmp1b	0.430504544984328
ENSMUSG00000026389.17	Steap3	0.140752200202465
ENSMUSG00000030532.7	Hddc3	0.00469133830535269
ENSMUSG00000060913.7	Trim55	0.0712092986810386
ENSMUSG00000050332.8	Amer1	1.33229211572103
ENSMUSG00000097487.8	Ptges3l	0.59067892567922
ENSMUSG00000005198.16	Polr2a	0.608321851040704
ENSMUSG00000048481.16	Mypop	0.640696317686678
ENSMUSG00000034610.15	Tut4	0.310189445193593
ENSMUSG00000020882.18	Cacnb1	0
ENSMUSG00000019998.7	Stx7	0.093444857624259
ENSMUSG00000022803.13	Popdc2	0.200933400511215
ENSMUSG00000024526.10	Cidea	0.399987727849649
ENSMUSG00000030983.5	Bccip	0.167579393027354
ENSMUSG00000027244.15	Atg13	0.125873242052693
ENSMUSG00000025509.16	Pnpla2	0.0914473559170166
ENSMUSG00000028106.14	Rprd2	0.204110831339186
ENSMUSG00000032405.11	Pias1	0.26903587141305
ENSMUSG00000025006.19	Sorbs1	1.35648676222689
ENSMUSG00000037709.14	Fam13a	1.00918179332783
ENSMUSG00000027176.9	Cstf3	0.0792792186383408
ENSMUSG00000043962.17	Thrap3	0.0711680687728625
ENSMUSG00000044709.7	Gemin7	0.573043636802716
ENSMUSG00000031722.11	Hp	0
ENSMUSG00000052310.10	Slc39a1	0.498693070959648
ENSMUSG00000040034.16	Nup43	0.558730307775594
ENSMUSG00000027367.17	Stard7	0.183776751320802
ENSMUSG00000024259.10	Slc25a46	0.227310137289751
ENSMUSG00000038074.17	Fkbp14	0.570708633559582
ENSMUSG00000066306.14	Numa1	0.19457430513638
ENSMUSG00000011306.8	Sugp1	0.204678142478743
ENSMUSG00000066152.12	Slc31a2	0.798778244160207
ENSMUSG00000023832.15	Acat2	0.818413846823915
ENSMUSG00000033099.11	Nol12	0.219543655710674
ENSMUSG00000039242.11	B3galnt2	0.908555692143437
ENSMUSG00000071302.11	2610044O15Rik8	0.0384623916181366
ENSMUSG00000001175.17	Calm1	0.340015599529748
ENSMUSG00000078941.10	Ak6	0.594278833009562
ENSMUSG00000028293.15	Slc35a1	0.0635671392833704
ENSMUSG00000041164.16	Zmiz2	0.124426078705641
ENSMUSG00000018666.14	Cbx1	0.413171016568752
ENSMUSG00000034121.13	Mks1	0.754505256268749
ENSMUSG00000001569.11	Nom1	0.239897715113946
ENSMUSG00000038604.10	Ripor1	0.302906776321501
