Geneid	Symbol	HFD_GElaS
ENSMUSG00000074277.5	Phldb3	0.193668453672756
ENSMUSG00000027429.17	Sec23b	1.01055797629508
ENSMUSG00000024978.12	Gpam	0.0372798611196446
ENSMUSG00000032010.16	Usp2	0.702316928569647
ENSMUSG00000038225.16	Primpol	0.0956630162461149
ENSMUSG00000038582.16	Pptc7	1.08842091690869
ENSMUSG00000058799.17	Nap1l1	0.129773676436297
ENSMUSG00000027809.15	Etfdh	0.223828143159076
ENSMUSG00000031762.8	Mt2	6.68675449385237
ENSMUSG00000024856.11	Cdk2ap2	0.563261173352524
ENSMUSG00000048782.16	Insc	2.22757488560087
ENSMUSG00000029426.9	Scarb2	0.514007972496862
ENSMUSG00000001525.11	Tubb5	1.49347155942534
ENSMUSG00000026492.12	Tfb2m	0.0786708603603093
ENSMUSG00000078566.9	Bnip3	0.145677911599533
ENSMUSG00000089960.2	Ugt1a1	0.382457198357139
ENSMUSG00000029456.13	Acad10	0.347123839968817
ENSMUSG00000048787.14	Dcun1d3	0.128267744909552
ENSMUSG00000028240.3	Cyp7a1	0
ENSMUSG00000018387.13	Shroom1	0
ENSMUSG00000075256.10	Cerkl	1.36375152016065
ENSMUSG00000026623.17	Lpgat1	0
ENSMUSG00000037487.8	Ubr5	0
ENSMUSG00000034994.11	Eef2	0.184372790027696
ENSMUSG00000030753.16	Thap12	0
ENSMUSG00000003528.16	Slc25a1	0
ENSMUSG00000033880.12	Lgals3bp	0.310995533939708
ENSMUSG00000028766.11	Alpl	0
ENSMUSG00000023150.15	Ivns1abp	0.617369597525822
ENSMUSG00000042487.7	Leo1	1.45361916680646
ENSMUSG00000004451.15	Ralb	0.0259007923207471
ENSMUSG00000040659.4	Efhd2	0.215586503599019
ENSMUSG00000021244.16	Ylpm1	0.336260600863294
ENSMUSG00000073968.5	Trim68	0.0644528793668024
ENSMUSG00000041220.11	Elovl6	1.0609623346628
ENSMUSG00000021559.15	Dapk1	0.194764749415942
ENSMUSG00000038060.16	Dlec1	0.595326805912097
ENSMUSG00000025017.11	Pik3ap1	1.2212632469081
ENSMUSG00000029992.15	Gfpt1	0.747190844107377
ENSMUSG00000026981.16	Il1rn	2.18120642173507
ENSMUSG00000005089.16	Slc1a2	0.738933770188728
ENSMUSG00000024360.9	Etf1	0.0240087230857767
ENSMUSG00000041798.16	Gck	1.07983897518631
ENSMUSG00000042248.5	Cyp2c37	0.13908077666585
ENSMUSG00000030670.17	Cyp2r1	0.218260906452522
ENSMUSG00000042349.14	Ikbke	0.644684955148391
ENSMUSG00000034917.9	Tjp3	0.040962433576608
ENSMUSG00000027954.10	Efna1	0.232663913745515
ENSMUSG00000033021.17	Gmppa	0.67716773321106
ENSMUSG00000021226.8	Acot2	1.20638184589814
ENSMUSG00000009647.14	Mcu	0
ENSMUSG00000022051.16	Bnip3l	0.634755601493453
ENSMUSG00000031701.7	Dnaja2	0
ENSMUSG00000035247.17	Hectd1	0.0137874026177866
ENSMUSG00000021518.5	Ptdss1	0.570708244809293
ENSMUSG00000037243.18	Zfp692	0.899147318673595
ENSMUSG00000110344.2	Gm45716	0.58384021963164
ENSMUSG00000029833.18	Trim24	1.27709295692816
ENSMUSG00000026944.19	Abca2	0
ENSMUSG00000020189.16	Osbpl8	1.01843837640316
ENSMUSG00000015846.16	Rxra	0.603875627116141
ENSMUSG00000025068.9	Gsto1	0.279117544280537
ENSMUSG00000036073.18	Galt	0
ENSMUSG00000021254.10	Gpatch2l	0.318242629653025
ENSMUSG00000026672.12	Optn	0.378581063764536
ENSMUSG00000039529.10	Atp8b1	0.380482907776786
ENSMUSG00000048218.7	Amigo2	1.18073670525945
ENSMUSG00000022389.16	Tef	0.379647764845924
ENSMUSG00000039100.11	Marchf6	0.67797657486529
ENSMUSG00000020131.15	Pcsk4	1.24037952191836
ENSMUSG00000021097.16	Clmn	0.91005899748413
ENSMUSG00000027048.16	Abcb11	0
ENSMUSG00000027822.17	Slc33a1	0.732831741746487
ENSMUSG00000022477.14	Aco2	0
ENSMUSG00000039648.15	Kyat1	0.433857694929268
ENSMUSG00000025078.10	Nhlrc2	0.152809248649784
ENSMUSG00000054252.19	Fgfr3	0.380202357284179
ENSMUSG00000050541.15	Adra1b	0.716682085500403
ENSMUSG00000052928.10	Ctif	0.440205211038975
ENSMUSG00000069456.5	Rdh16	1.04644380266303
ENSMUSG00000037541.23	Shank2	0.13373186506208
ENSMUSG00000009376.16	Met	0.0969616862676029
ENSMUSG00000017307.17	Acot8	0.317291032117481
ENSMUSG00000039763.11	Dnajc28	1.05952070331097
ENSMUSG00000032788.16	Pdxk	0
ENSMUSG00000030082.15	Sec61a1	0.828363839424606
ENSMUSG00000021765.10	Fst	0
ENSMUSG00000022474.16	Pmm1	1.58361929034039
ENSMUSG00000024827.11	Gldc	0
ENSMUSG00000024845.20	Tmem134	0.741086261989195
ENSMUSG00000020553.9	Pctp	0.422797068387475
ENSMUSG00000056050.16	Mia3	1.15036860477296
ENSMUSG00000021133.10	Susd6	1.36066657512419
ENSMUSG00000023307.15	Marchf5	0.432419700447953
ENSMUSG00000023018.6	Smarcd1	0.538884684305616
ENSMUSG00000053964.18	Lgals4	1.67224467063705
ENSMUSG00000000686.12	Abhd15	0.517753645250779
ENSMUSG00000041084.9	Ostc	0.97212475803534
ENSMUSG00000035530.14	Eif1	0.965978557401397
ENSMUSG00000027875.13	Hmgcs2	0.387996001901869
ENSMUSG00000009905.6	Kdsr	1.01838305394724
ENSMUSG00000024507.7	Hsd17b4	0.0420898275582259
ENSMUSG00000018287.13	Spag7	0.168499035695117
ENSMUSG00000032508.9	Myd88	0.755523664302466
ENSMUSG00000039096.11	Rsad1	0.0933291844561769
ENSMUSG00000005615.16	Pcyt1a	0
ENSMUSG00000060121.16	Gemin2	0.589118867426272
ENSMUSG00000029575.18	Mmab	0.594977196570197
ENSMUSG00000027993.17	Trim2	0.204495730057265
ENSMUSG00000021427.11	Ssr1	1.09186702020987
ENSMUSG00000031700.12	Gpt2	0.123813287003687
ENSMUSG00000055553.17	Kxd1	0.372531005814297
ENSMUSG00000004098.8	Col5a3	0
ENSMUSG00000004207.15	Psap	0.502303240422759
ENSMUSG00000053617.13	Sh3pxd2a	0
ENSMUSG00000036046.15	5031439G07Rik	1.13531687650133
ENSMUSG00000031016.10	Wee1	0
ENSMUSG00000019951.11	Uhrf1bp1l	0.021375793739824
ENSMUSG00000048371.9	Pdp2	1.25214884204728
ENSMUSG00000034850.16	Tmem127	0.456491287838538
ENSMUSG00000024900.6	Cpt1a	0.450872990669254
ENSMUSG00000027900.16	Dram2	0.794340087837311
ENSMUSG00000017210.15	Med24	0.909867882439776
ENSMUSG00000058013.12	Septin11	0.754903372939904
ENSMUSG00000022751.10	Nit2	0.237791310463095
ENSMUSG00000066357.7	Wdr6	0.174893011544945
ENSMUSG00000030674.6	Qprt	0.193546508653481
ENSMUSG00000016541.11	Atxn10	0.295921197069564
ENSMUSG00000044792.8	Isca1	0.187407120845906
ENSMUSG00000033953.11	Ppp3r1	0.0324844050841766
ENSMUSG00000000303.13	Cdh1	0.904111953576169
ENSMUSG00000041491.9	Cep78	1.0457479610019
ENSMUSG00000032383.8	Ppib	0.954065617830434
ENSMUSG00000037742.15	Eef1a1	0.301697314953908
ENSMUSG00000021576.7	Pdcd6	0.434185423176285
ENSMUSG00000038949.9	Cnst	0.901048155177467
ENSMUSG00000026853.16	Crat	0.946098926402129
ENSMUSG00000023022.15	Lima1	1.06850951362139
ENSMUSG00000022194.16	Pabpn1	0.602933256487598
ENSMUSG00000027630.14	Tbl1xr1	0.890910278918227
ENSMUSG00000028185.13	Dnase2b	0.522371973219909
ENSMUSG00000035948.14	Acss3	1.46890700447138
ENSMUSG00000039384.9	Dusp10	0.703100159610581
ENSMUSG00000027984.9	Hadh	0.270008984656688
ENSMUSG00000019732.15	Calr3	0.399166622447878
ENSMUSG00000031628.10	Casp3	0
ENSMUSG00000040701.17	Ap1g2	0.167898942384076
ENSMUSG00000038578.16	Susd1	0.350197247665814
ENSMUSG00000047153.5	Khnyn	0
ENSMUSG00000037826.6	Ppm1k	1.33492970071355
ENSMUSG00000029701.16	Rbm28	0.734741666972153
ENSMUSG00000055862.8	Izumo4	0
ENSMUSG00000038628.9	Polr3k	0.787201110564004
ENSMUSG00000030236.11	Slco1b2	0.236440647174401
ENSMUSG00000052040.11	Klf13	1.68601533237026
ENSMUSG00000053436.16	Mapk14	0.0443160265711176
ENSMUSG00000022698.18	Naa50	0
ENSMUSG00000041660.9	Bbox1	0.151406807735425
ENSMUSG00000032757.7	Bet1	0.45021704938532
ENSMUSG00000034157.13	Cipc	0.0242978202175345
ENSMUSG00000023030.17	Slc11a2	0.55946338926513
ENSMUSG00000005373.14	Mlxipl	0
