Geneid	Symbol	Chow_GElaS
ENSMUSG00000091144.3	Phf11c	3.57794518595352
ENSMUSG00000035064.18	Eef2k	1.26320055538152
ENSMUSG00000030787.5	Lyve1	1.46143871307663
ENSMUSG00000038342.16	Mlxip	1.35771351271058
ENSMUSG00000031974.9	Abcb10	0.410505939105707
ENSMUSG00000005683.9	Cs	1.26102245251417
ENSMUSG00000001211.16	Agpat3	0.52442402294508
ENSMUSG00000028599.11	Tnfrsf1b	2.31111526049728
ENSMUSG00000032348.7	Gsta4	0.600054133091933
ENSMUSG00000021375.12	Kif13a	0
ENSMUSG00000035875.16	AI182371	0.535211550025775
ENSMUSG00000035202.9	Lars2	5.24106584418792
ENSMUSG00000067071.9	Hes6	2.70663619651847
ENSMUSG00000027359.17	Slc27a2	1.12702156733442
ENSMUSG00000030087.12	Klf15	1.69522439041579
ENSMUSG00000032018.15	Sc5d	0.273485608718404
ENSMUSG00000058486.12	Wdr91	0.165895631372071
ENSMUSG00000019838.12	Slc16a10	0.576519812950287
ENSMUSG00000019997.12	Ccn2	4.01299569518236
ENSMUSG00000028944.15	Prkag2	0.433428984795068
ENSMUSG00000028715.3	Cyp4a14	0.131267762519097
ENSMUSG00000028334.11	Nans	1.75609914683687
ENSMUSG00000022751.10	Nit2	0.759586471664859
ENSMUSG00000038658.16	Ric1	0.515917990823562
ENSMUSG00000023800.16	Tiam2	1.00283404537702
ENSMUSG00000025950.17	Idh1	0.0961099103588402
ENSMUSG00000037260.9	Hgsnat	1.10297058129148
ENSMUSG00000032125.22	Robo4	1.55455419643385
ENSMUSG00000026623.17	Lpgat1	0
ENSMUSG00000021281.16	Tnfaip2	2.24142818635861
ENSMUSG00000045973.19	Slc25a51	2.38370438403526
ENSMUSG00000041720.15	Pi4ka	0.23124103014482
ENSMUSG00000026510.11	Trp53bp2	0.601662707695773
ENSMUSG00000047446.19	Arl4a	2.00422950982406
ENSMUSG00000024990.14	Rbp4	0.540207490275739
ENSMUSG00000094152.6	Slc6a16	2.06743682959348
ENSMUSG00000053898.13	Ech1	0.702380939633042
ENSMUSG00000044676.11	Zfp612	1.21233163262192
ENSMUSG00000040297.13	Suco	0
ENSMUSG00000041272.12	Tox	1.62929070615538
ENSMUSG00000026981.16	Il1rn	2.56521855723232
ENSMUSG00000020515.14	Cnot8	0.16769273324639
ENSMUSG00000026526.15	Fh1	1.33411962821896
ENSMUSG00000041075.9	Fzd7	1.0311446362347
ENSMUSG00000032733.7	Snx33	0.998306064522326
ENSMUSG00000019832.6	Rab32	0.58860315409098
ENSMUSG00000025089.16	Gfra1	1.11451643569972
ENSMUSG00000031790.9	Mmp15	1.35914350251159
ENSMUSG00000012483.5	Rpa3	0.0884713182952115
ENSMUSG00000029657.16	Hsph1	0
ENSMUSG00000003559.9	As3mt	0.135307280008564
ENSMUSG00000074063.11	Osgin1	2.8817691801776
ENSMUSG00000025153.10	Fasn	2.6053520003233
ENSMUSG00000004098.8	Col5a3	0.130140977147533
ENSMUSG00000026870.20	Cutal	0.913523249917861
ENSMUSG00000021133.10	Susd6	2.36268134934275
ENSMUSG00000037894.14	H2az1	0
ENSMUSG00000034509.10	Mad2l1bp	0
ENSMUSG00000021620.5	Acot12	1.38875242677467
ENSMUSG00000027761.5	Aadac	0.0838268159286676
ENSMUSG00000071350.13	Setdb2	2.28653117336079
ENSMUSG00000066441.15	Rdh11	0.0856678222254096
ENSMUSG00000032602.7	Slc25a20	1.34486155974195
ENSMUSG00000003555.9	Cyp17a1	0
ENSMUSG00000021069.18	Pygl	0.626374606033742
ENSMUSG00000032092.6	Mpzl2	0.818381661075504
ENSMUSG00000005514.15	Por	3.5989260891343
ENSMUSG00000021903.12	Galnt15	1.56172496308766
ENSMUSG00000043091.10	Tuba1c	1.80472791908997
ENSMUSG00000034165.17	Ccnd3	0.988542603525131
ENSMUSG00000033970.16	Rfc3	0.54933711446859
