Geneid	Symbol	Aged_AdLibitum.log2fpkm.mean	Aged_Fast.log2fpkm.mean	Aged_Refeed.log2fpkm.mean	Aged_GElaS
ENSMUSG00000029469.15	Ift81	0.057420639253254	0.235108085040113	-0.454568282241926	0.042434032368103
ENSMUSG00000027406.14	Idh3b	6.8040607404392	6.80737675661873	6.79668456995445	8.74995698628962e-05
ENSMUSG00000021796.16	Bmpr1a	3.58654740651667	3.63117571596218	3.66486886497334	0
ENSMUSG00000006373.11	Pgrmc1	2.51803501568312	2.64474244608685	2.60896837608322	0.00949273286890157
ENSMUSG00000040441.13	Slc26a10	0.598003417940621	0.773178427167502	1.03153294888872	0
ENSMUSG00000022338.9	Eny2	2.53397697648437	2.62675513522218	2.55486937056601	0.0225766238403671
ENSMUSG00000009418.17	Nav1	-0.00551026760251316	0.479115197818477	-0.087759105724532	0.467593244372152
ENSMUSG00000015501.11	Hivep2	2.22752244123405	2.09961457127628	1.98504214536386	0
ENSMUSG00000037316.10	Bag4	0.13568143118573	0.015635644539436	0.0149208864263067	0
ENSMUSG00000037013.18	Ss18	0.771842094435762	0.876377764725763	0.783973275624174	0.0293526351405091
ENSMUSG00000052707.9	Tnrc6a	1.6291558112194	1.98295265351183	1.85324212847137	0.113290886052618
ENSMUSG00000021044.16	Adck1	1.86203968946459	1.81529792329476	1.83701941297734	0.0022850057373419
ENSMUSG00000053617.13	Sh3pxd2a	3.12993163398546	2.92007796547017	2.65260692059152	0
ENSMUSG00000028549.18	Itgb3bp	2.6534714899322	2.36672344135745	2.47428917642555	0.0595443030228546
ENSMUSG00000030201.16	Lrp6	1.94136301447555	1.9625999371235	1.80245050104453	0.00381112475159923
ENSMUSG00000025911.15	Adhfe1	3.39001893712171	3.46022926387037	3.44363032566779	0.00153546016830353
ENSMUSG00000028328.14	Tmod1	6.4213020824338	6.29010788443933	6.22172980659705	0
ENSMUSG00000078862.11	Gm14326	2.26388357806913	2.18399011930695	2.09135112924805	0
ENSMUSG00000042709.16	Atpaf2	3.14917010245197	3.04227081168159	3.19842863911016	0.0507200676850235
ENSMUSG00000039043.6	Arpin	0.766297557587408	0.656685913448536	0.640589537694273	0
ENSMUSG00000031700.12	Gpt2	5.68610234377126	5.74487250132705	5.75511442870002	0
ENSMUSG00000016128.15	Stard13	-0.177246093602018	-0.184425200463063	-0.494826770297943	0
ENSMUSG00000041958.11	Pigs	2.7513689757305	2.57926377357847	2.67965501149867	0.070647104950892
ENSMUSG00000068732.6	Tmem167b	3.04687907332678	2.96448775161978	3.03964860701961	0.0282969639186675
ENSMUSG00000029176.14	Anapc4	2.537583430183	2.63452032051351	2.50255494531401	0.0641277406501243
ENSMUSG00000026678.11	Rgs5	6.00053309909104	5.93448494654353	5.72876075221814	0
ENSMUSG00000016503.19	Gtf3a	3.02216060256192	2.78359156970885	2.99417258648102	0.257689601050583
ENSMUSG00000035202.9	Lars2	3.62805194238389	3.53371319658953	3.86442453382901	0.0502295113031296
ENSMUSG00000104713.5	Gbp6	0.477541252364867	1.37881456641332	0.200555202270898	1.23824144120414
ENSMUSG00000028268.15	Gbp3	-0.0447144831566849	0.0410941984351554	-0.0401077853076846	0.00202265074228675
ENSMUSG00000000295.14	Hddc2	0.902264377379092	0.845894287771432	0.94318574022881	0.00685442954440998
ENSMUSG00000033487.15	Fndc3a	0.339951153816103	0.701731166992406	0.337625767062423	0.40291238357976
ENSMUSG00000057497.9	Fam136a	2.33012401498867	2.09222622567516	2.42262829045908	0.283069724830733
ENSMUSG00000050619.15	Zscan29	-0.127824594506538	0.260043251389587	0.187722330974423	0.0518560878951791
ENSMUSG00000024993.16	Dennd10	0.142324669582398	-0.0418178114222489	0.01205473322337	0.0231768380124922
ENSMUSG00000046532.9	Ar	2.01488811496147	1.82655622795386	2.22959375137105	0.0529684497778483
ENSMUSG00000048696.12	Mex3d	0.676978242969086	1.06744579973606	1.27020533003559	0
ENSMUSG00000033128.10	Gga1	3.91352060611781	3.85540079434667	3.94870875234079	0.0211816353688703
ENSMUSG00000036435.14	Exoc1	0.240946307543791	0.246085244341661	-0.139739499781199	0.00613421879325308
ENSMUSG00000023809.11	Rps6ka2	4.09955938249815	4.07602053519569	3.77414618203682	0
ENSMUSG00000020738.17	Sumo2	4.15434674185695	4.07628982207324	4.3441132661231	0.0828514673916929
ENSMUSG00000046139.9	Patl1	3.04064046332138	3.07375331444267	3.00871341042188	0.00549619842747776
ENSMUSG00000002043.18	Trappc6a	0.358966559023733	0.59440817252673	0.465238103027406	0.0299366140262715
ENSMUSG00000001998.16	Ap4e1	0.443880165062983	0.656865241013298	0.556570599579678	0.0259822643610499
ENSMUSG00000024620.12	Pdgfrb	2.32142646528549	2.62512976606302	2.28126162544702	0.212975960966539
ENSMUSG00000045503.17	Sys1	1.40590584090661	1.26102037548764	1.54484146527071	0.130236017305035
ENSMUSG00000024191.16	Bnip1	1.77565354449022	1.53007482375718	1.46533864952962	0
ENSMUSG00000021693.21	Kif2a	1.12293240589139	1.22602042722288	1.23664710899523	0
ENSMUSG00000092124.2	B930094E09Rik	0.426687375956461	0.286433599015394	0.0304419141927051	0
ENSMUSG00000030157.6	Clec2d	6.08087617707363	6.00159845296186	6.16437564900874	0.0272017360173251
ENSMUSG00000034101.15	Ctnnd1	0.00280027399326217	0.158687512596987	-0.268264824904956	0.121051006675219
ENSMUSG00000039450.12	Dcxr	2.15267151895274	2.38286839343349	2.47336749685492	0
ENSMUSG00000025917.10	Cops5	4.8294304280746	4.79481462816864	4.97348342656584	0.0200733841290208
ENSMUSG00000020471.12	Pold2	3.70008426592468	3.75152977931459	4.01112221303499	0
ENSMUSG00000029199.12	Lias	3.15496963849027	3.22883743445146	3.17494044953524	0.0272016700277652
ENSMUSG00000001506.11	Col1a1	2.03677850212184	2.30036532182185	1.69225015559849	0.0326587949061223
ENSMUSG00000037211.13	Spry1	2.52112085973152	2.63179104679261	2.43304533874523	0.037615336176609
ENSMUSG00000019791.13	Hint3	2.1548968072866	2.10198143077249	2.17814310999687	0.0151496476945195
ENSMUSG00000019988.8	Nedd1	2.61048283203636	2.53229299645949	2.61409218612644	0.0379429593505643
ENSMUSG00000039634.13	Zfp189	0.371585145557757	0.342122659394943	0.631469399336617	0.00691203704844695
ENSMUSG00000031448.13	Adprhl1	3.23785122920034	3.48208555036108	2.95664144675188	0.134202139955484
ENSMUSG00000028796.18	Phc2	1.40642815662189	1.65315549250163	1.6620675768628	0
ENSMUSG00000028961.16	Pgd	1.41670266238029	1.4978116517131	1.6568476426279	0
ENSMUSG00000058900.6	Rsl1	-0.00991473993291989	0.00368392287257887	-0.0543270172071993	0.0009815917345735
ENSMUSG00000006344.18	Ggt5	-0.284410058417223	-0.171176158943355	-0.346918237550581	0.015421252031161
ENSMUSG00000028850.3	Gpatch3	0.387529887084241	0.240336149405611	-0.243592186554271	0
ENSMUSG00000032806.14	Slc10a3	0.177160156660935	0.569606612577986	0.931636555529992	0
ENSMUSG00000039457.5	Ppl	-0.586731511182917	-0.253799922397389	0.0542167619203696	0
ENSMUSG00000020719.15	Ddx5	6.80678643924943	6.78563115967521	6.66324422919334	0
ENSMUSG00000030986.14	Dhx32	3.67815502803019	3.99516672576933	4.07596827358014	0
ENSMUSG00000039081.11	Zfp503	1.1890504970854	1.23862278569306	1.13554203992286	0.00568928061018808
