Geneid	Symbol	Young_AdLibitum.log2fpkm.mean	Young_Fast.log2fpkm.mean	Young_Refeed.log2fpkm.mean	Aged_AdLibitum.log2fpkm.mean	Aged_Fast.log2fpkm.mean	Aged_Refeed.log2fpkm.mean
ENSMUSG00000021493.16	Pdlim7	5.87137303938543	5.49883673503425	5.58175040509201	5.60504692953896	5.41424021370714	5.71143142612774
ENSMUSG00000045294.12	Insig1	2.19003442404018	2.70262345097364	2.01499569508526	1.87707329180755	2.17445559590579	2.14878065843728
ENSMUSG00000029198.4	Grpel1	4.04842264116893	4.2541320512185	4.14768895300131	4.10009966686978	4.12436508757524	4.28303467211512
ENSMUSG00000002658.10	Gtf2f1	3.53780749530454	3.28923965328073	3.43861361549774	3.5313529103748	3.48225224912597	3.57400348546834
ENSMUSG00000046841.6	Ckap4	1.57765929176222	1.15552308844018	1.40076049305452	1.03769101602434	1.00253629314197	1.23304336197301
ENSMUSG00000027746.14	Ufm1	2.594685974057	2.4565727290421	2.40716958142094	2.3876698342746	2.54438360959723	2.40046260400275
ENSMUSG00000031250.9	Tnmd	2.91483167600079	1.87365236769698	2.38575242782305	1.02682820761281	1.56563333980402	1.2765283527474
ENSMUSG00000066735.9	Vkorc1l1	2.80801131685395	2.58039897869111	2.58871035587548	2.66460357619462	2.58713531885536	2.62193640838827
ENSMUSG00000052928.10	Ctif	1.10132534727423	0.833450487742513	0.97027963341471	1.15602795063027	1.03739224322388	0.790646503993179
ENSMUSG00000028911.17	Srsf4	3.08893691520301	3.32656661113054	3.20638576530796	3.05909484488232	3.13848747210608	3.24170048951744
ENSMUSG00000024959.15	Bad	1.82724983578478	1.55669180715481	1.83987748342031	1.62030693098053	1.76042678774919	2.04859131620436
ENSMUSG00000023963.11	Cyp39a1	1.08111261106335	0.715706037510519	0.761664217596062	0.695167030605624	0.478207205095924	0.734559786940846
ENSMUSG00000015957.13	Wnt11	0.604798601502115	0.929315581015155	0.859095021817454	0.553450480359176	0.943557154788818	0.624789952525973
ENSMUSG00000019899.18	Lama2	1.23708422040923	1.62899327136079	1.40749096533835	1.09269926516617	1.56329733321609	1.14398796925583
ENSMUSG00000022309.10	Angpt1	0.978608739273724	0.244994088519673	0.815587847221688	1.18246130401973	0.879475795597175	0.727182955088376
ENSMUSG00000034875.6	Nudt19	4.10828617297557	3.87639834342675	3.95021096935015	4.20728852710899	3.99544874713067	4.11099202085559
