Geneid	Symbol	AdLibitum.log2fpkm.mean	Fast.log2fpkm.mean	Refeed.log2fpkm.mean
ENSMFAG00000032105	PPP1R21	2.12385992933539	2.46001290386729	2.51163648052604
ENSMFAG00000003364	AP3S1	4.40887844060596	4.10485909403923	4.20773107668298
ENSMFAG00000043165	SEC22B	4.42935911133119	4.80080987384846	4.91573744290097
ENSMFAG00000004725	""	3.02824967726939	2.38508035457905	1.96158302949582
ENSMFAG00000000120	BTBD10	1.02673081487629	0.593595119314179	1.0281113986566
ENSMFAG00000041609	INSR	1.47288735252678	2.17576257121251	1.96117732576736
ENSMFAG00000035566	BRD7	3.68353676963912	3.89007418929428	3.8245615757609
ENSMFAG00000027579	C2CD3	1.2962816002565	0.767708959291488	0.75204871736808
ENSMFAG00000001497	GSK3A	2.50892720527361	2.79351097496203	2.46243808500109
ENSMFAG00000044339	MYO5A	-0.148735234894218	0.465238410282167	0.583605956119554
ENSMFAG00000042817	FAM214A	3.38268888751343	3.79029637549187	3.48086249830054
ENSMFAG00000002509	ADAMTS14	0.33930974068269	-0.202947831426843	0.24345712649674
ENSMFAG00000038411	AASS	3.44806706582307	4.07999346570179	3.8603135793401
ENSMFAG00000042323	INPP5F	0.765433059380507	0.430589092116712	0.645972695088526
ENSMFAG00000002145	ABCA1	2.47965686819149	2.02530984943526	2.17332681193668
ENSMFAG00000038874	EXOSC10	3.15533290526693	2.86296639750046	2.91336747349939
ENSMFAG00000052778	""	7.77596925045964	7.26368435757338	6.94628972614341
ENSMFAG00000059314	ATF6	1.91966292241302	2.2258391112874	2.03536148144181
ENSMFAG00000037750	""	2.30661261153799	2.8767463936652	2.79324592993372
ENSMFAG00000039747	PSMD11	3.81255750403074	4.16432220060577	4.27659682220478
ENSMFAG00000023169	""	4.05965114563569	3.38131170095698	2.77666529585568
ENSMFAG00000057642	SREK1IP1	5.64895798759771	4.8399879575529	4.72577850274425
ENSMFAG00000039765	SERPINA6	8.87340597533152	8.40190420441844	8.18240199339284
ENSMFAG00000046303	""	6.78654271497236	6.14884008763583	5.64015053490145
ENSMFAG00000003138	""	3.65745198268005	3.43477777274182	3.28560244576215
ENSMFAG00000001162	PON2	6.52962442510987	6.89955873339349	6.74495853166903
ENSMFAG00000046304	PPP2R1B	2.57720421905634	3.32440820361019	2.31007817615272
ENSMFAG00000035418	ZNF16	3.04226744261317	2.51399150204877	2.402048154005
ENSMFAG00000042367	VARS2	3.64125555113868	3.89359444828663	3.67788965273986
ENSMFAG00000043639	RAPGEF2	1.95437645148802	2.3572232672966	2.29066452089805
ENSMFAG00000002312	GYS2	5.21584389624761	5.97930360403635	5.69818716868168
ENSMFAG00000044952	TMPRSS2	2.20577014804398	3.07699503836141	2.75251464364771
ENSMFAG00000042573	DNAJA3	4.06322739850503	4.42352225403538	4.44456538859078
ENSMFAG00000042050	ZNF181	2.34737009874746	1.87228705017174	2.03778243031709
ENSMFAG00000044907	ZNF627	3.68227584553961	4.01140726395781	3.67812166942997
ENSMFAG00000037483	APOB	7.91319257245934	8.4781450423809	8.32451095263867
ENSMFAG00000043518	TPP2	2.67644001352542	2.42464304643658	2.68041047432847
ENSMFAG00000044736	KLHL21	1.26504884174598	1.89197905643826	1.41435460761477
ENSMFAG00000045494	""	2.82008813101232	2.39947245496601	2.28491116457305
ENSMFAG00000002099	AMDHD2	1.52314934165808	1.03655669271902	0.929119404252143
