Geneid	Symbol	GElaS
ENSMFAG00000000862	TIMM17B	0.0503499573542674
ENSMFAG00000051065	MPST	0.131579258011008
ENSMFAG00000001109	NCBP2	0.0654961852828349
ENSMFAG00000003954	MPC1	0.125907316458484
ENSMFAG00000029786	PQBP1	0.100651375910429
ENSMFAG00000041306	RHOBTB1	0.152063370863649
ENSMFAG00000036915	MTCH2	0
ENSMFAG00000043284	MTHFR	0
ENSMFAG00000036439	ZNF460	0.039573875720097
ENSMFAG00000032330	MRPL42	0
ENSMFAG00000044494	PGF	0.277418831389179
ENSMFAG00000001982	ATN1	0
ENSMFAG00000002181	TRPC6	0
ENSMFAG00000000408	THAP3	0.464496910330292
ENSMFAG00000031929	RAD23B	0
ENSMFAG00000041106	""	0
ENSMFAG00000003426	""	0.111588320129211
ENSMFAG00000052177	""	0.00573773212358621
ENSMFAG00000030476	SKP2	0.608323358663095
ENSMFAG00000038869	VDAC2	0
ENSMFAG00000002123	ANKRD13B	0.344971202948819
ENSMFAG00000036802	XPR1	0.381988510603351
ENSMFAG00000049999	ADM	1.50641927315879
ENSMFAG00000045061	UBE2D1	0.0700332802825503
ENSMFAG00000038122	XRN2	0.180297465698508
ENSMFAG00000040587	ELF1	0.23741585738866
ENSMFAG00000033735	GIGYF1	0
ENSMFAG00000034407	TXN2	0
ENSMFAG00000056796	SVBP	0.00232078401117222
ENSMFAG00000000892	WDR86	0.313229697925073
ENSMFAG00000022956	ITGA7	0.22108502096851
ENSMFAG00000056343	""	0.254807317362966
ENSMFAG00000042971	MRPS7	0.0856122273585799
ENSMFAG00000030950	ATXN10	0.0178735188728272
ENSMFAG00000002997	ALG2	0.227850214448205
ENSMFAG00000007994	""	0.051296075719637
ENSMFAG00000002788	MCM9	0.099276051561308
ENSMFAG00000029781	MED7	0
ENSMFAG00000002425	RAPGEF5	0.34591987922386
ENSMFAG00000031988	CPT1A	0.769791393094996
ENSMFAG00000031132	PRSS12	0
ENSMFAG00000034498	MICOS13	0.0578361796751369
ENSMFAG00000045182	PGP	0.470640288560607
ENSMFAG00000035528	EPHB4	0.088673761370237
ENSMFAG00000018627	GJA5	1.40353351750513
ENSMFAG00000038082	""	0.0351787445843288
ENSMFAG00000034700	ANKRD12	0.122821751044581
ENSMFAG00000000784	""	0.241587849775042
ENSMFAG00000032147	ATP11A	0.128531793416947
ENSMFAG00000032289	LPCAT2	0.109130428512054
ENSMFAG00000043883	ISOC1	0.0625701184144009
ENSMFAG00000031171	TSR3	0.0455799654149623
ENSMFAG00000039140	ATP5F1D	0.0860024966950152
ENSMFAG00000038255	CEP70	0.025583148832984
ENSMFAG00000033952	CCT6A	0
ENSMFAG00000039738	NDUFA1	0.126692906529699
ENSMFAG00000044806	DMAC1	0.0861105305706661
ENSMFAG00000030777	HMOX2	0
ENSMFAG00000036092	""	0
ENSMFAG00000060921	""	0.167906309472887
ENSMFAG00000045660	GSDME	0.42202633971263
ENSMFAG00000003060	PGAM5	0.0132954383847742
ENSMFAG00000063171	CLPP	0.0625518942679048
ENSMFAG00000052483	SH2B3	0.282065519638826
ENSMFAG00000045359	""	0
ENSMFAG00000003053	""	0.106774613519023
ENSMFAG00000043539	OXLD1	0.302746226503351
ENSMFAG00000043281	ERCC6L2	0.0721410799407104
ENSMFAG00000030017	FAM53B	0.222805062129438
ENSMFAG00000038370	SIRT4	0.0517546239483445
ENSMFAG00000030975	AKAP13	0.40814063272075
ENSMFAG00000055687	CCDC115	0.0770972322739406
ENSMFAG00000041036	OXSR1	0.449066384286681
ENSMFAG00000045877	""	0
ENSMFAG00000035476	RALGPS1	0.501342826219293
ENSMFAG00000002795	COA5	0.1979984510106
ENSMFAG00000002454	SMPD3	1.33746031819185
ENSMFAG00000032376	NHP2	0.0121090177506963
ENSMFAG00000041007	TOGARAM1	0.157120055184094
ENSMFAG00000033935	DYNLRB1	0.102274718381293
ENSMFAG00000049434	""	0.973331892618887
ENSMFAG00000044373	IMMT	0
ENSMFAG00000043267	SUCLG1	0
ENSMFAG00000036731	HAX1	0
ENSMFAG00000030804	NDUFAF4	0.179475459631487
ENSMFAG00000057910	AP3S2	0
ENSMFAG00000042678	BBS7	0.127149948908629
ENSMFAG00000034427	SON	0.0185600069270677
ENSMFAG00000038469	""	0.078938678530909
ENSMFAG00000045655	ACACA	0
ENSMFAG00000040153	PPP2R5D	0.0600730429922042
ENSMFAG00000038873	GSTM5	0.0524332941926962
ENSMFAG00000003671	""	0.40464971993157
ENSMFAG00000034154	FAH	0.0360201649599068
ENSMFAG00000039470	SEC61G	0.148728308888878
ENSMFAG00000027670	FLAD1	0
ENSMFAG00000001153	POLR3H	0.100832189091942
ENSMFAG00000043917	USP11	0
ENSMFAG00000033606	MDM4	0.0683716874294779
ENSMFAG00000034372	EMC8	0.0810207505147059
ENSMFAG00000000584	SNF8	0.0742174723276687
ENSMFAG00000033340	GRHPR	0
ENSMFAG00000002188	CDK15	0.199305781459905
ENSMFAG00000000246	TRO	0
ENSMFAG00000006665	TMA7	0.258201746539408
ENSMFAG00000036634	PAK3	0
ENSMFAG00000039590	RNF167	0.129212892928828
ENSMFAG00000045554	ITGB1BP1	0.0169412982660129
ENSMFAG00000045536	DHFR	0
ENSMFAG00000036058	DPCD	0.0907223648697867
ENSMFAG00000036713	ABITRAM	0
ENSMFAG00000030961	""	0.0327787878843903
ENSMFAG00000001364	""	0.0203548009000324
ENSMFAG00000030609	KIAA1217	0.157923474540723
ENSMFAG00000035944	UGP2	0
ENSMFAG00000034422	AAMDC	0.0377091977770779
ENSMFAG00000040341	ABCC3	0.318398662895464
ENSMFAG00000040540	EPSTI1	0.107934979292567
ENSMFAG00000044264	MBD3	0.027409356762936
ENSMFAG00000031285	""	0.225207478621769
ENSMFAG00000039621	CMTM3	0.0242244306697827
ENSMFAG00000045595	CIITA	0.658660715321458
ENSMFAG00000032030	IDUA	0
ENSMFAG00000003242	PLD2	0
ENSMFAG00000030308	YAE1	0.0880942837018359
ENSMFAG00000035899	""	0.0216791776982995
ENSMFAG00000031473	RDH10	0
ENSMFAG00000041724	GABARAPL2	0
ENSMFAG00000031144	BOLA3	0
ENSMFAG00000044855	TOMM22	0
ENSMFAG00000042994	NEDD9	0.335090475530959
ENSMFAG00000039490	KLF11	1.01839828555511
ENSMFAG00000030039	MRPS27	0
ENSMFAG00000032392	ARID1A	0.072316439592776
ENSMFAG00000043823	MRPL21	0.028858175445674
ENSMFAG00000034367	MDC1	0
ENSMFAG00000041573	SPR	0
ENSMFAG00000000785	ELP3	0
ENSMFAG00000033343	CHD2	0.171453861320326
ENSMFAG00000001948	PDRG1	0.128283925383851
ENSMFAG00000024346	CHCHD3	0
ENSMFAG00000038111	SLC44A5	0
ENSMFAG00000041570	""	3.99994939579265
ENSMFAG00000010455	DUSP14	0.284758807700265
ENSMFAG00000031184	MTMR9	0.272354881626041
ENSMFAG00000038349	UCHL5	0
ENSMFAG00000032923	PDE7B	0.121515913496065
ENSMFAG00000038633	""	0
ENSMFAG00000042528	LGI4	0.467957816116505
ENSMFAG00000052682	KCNE4	1.2621677402891
ENSMFAG00000040734	LURAP1L	0
ENSMFAG00000031016	THAP1	0
ENSMFAG00000039884	PSMG4	0.142946418638236
ENSMFAG00000002619	GRB10	0.171808457002597
ENSMFAG00000040947	PELI2	0.547200656961324
ENSMFAG00000038594	ZNF713	0.0153413598316769
ENSMFAG00000002882	FAM32A	0.0192811293283042
ENSMFAG00000032727	VPS45	0
ENSMFAG00000062411	FMC1	0.123482859099444
ENSMFAG00000049457	BANF1	0.0383343983108558
ENSMFAG00000032247	LDHB	0
ENSMFAG00000052756	HIC2	0.457584021061887
ENSMFAG00000032779	ATXN1	0.0749011040890463
ENSMFAG00000034610	VAPB	0
ENSMFAG00000032482	TIMM50	0.0271482016048486
ENSMFAG00000025686	NES	0.545653937992512
ENSMFAG00000033871	DCUN1D5	0.113708921694977
ENSMFAG00000019961	""	0
ENSMFAG00000030976	GDI2	0
ENSMFAG00000044694	""	0.340604780998295
ENSMFAG00000030901	DCXR	0.0701532727896631
ENSMFAG00000035843	STRN4	0.0230071613373501
ENSMFAG00000043016	SDHD	0
