Geneid	Symbol	AdLibitum.log2fpkm.mean	Fast.log2fpkm.mean	Refeed.log2fpkm.mean
ENSMFAG00000042554	PHB	5.65332854768048	5.34600420277295	5.29410408934032
ENSMFAG00000040130	BLVRB	6.48523822033542	6.21029171410951	6.14857769486134
ENSMFAG00000033270	NFU1	5.1578802623553	4.89536938831143	4.87466429821154
ENSMFAG00000042542	MRPS16	4.37465528914618	4.15415331789756	4.19409708415786
ENSMFAG00000030347	RABAC1	7.76081002645264	7.48133744260213	7.60510090209495
ENSMFAG00000028608	SREBF1	5.60039664180203	4.76559888330984	5.43826561650778
ENSMFAG00000003802	NDUFA11	7.73276960665534	7.37241598756102	7.47009704129145
ENSMFAG00000049400	ISCA2	1.89189228471072	1.64147266916059	1.6162911362289
ENSMFAG00000031289	PXN	4.74302649057208	5.08354007393422	4.93674216904162
ENSMFAG00000042243	CXXC5	4.31055194365235	3.70523325464782	4.29951025662028
ENSMFAG00000030521	STAP2	1.19719775353825	0.430605552916972	0.637080481449132
ENSMFAG00000033740	TMC6	2.17318670053785	2.61466788939183	2.53732989296934
ENSMFAG00000037329	ZMAT2	5.56680583932119	5.37139858218398	5.33497794324211
ENSMFAG00000044258	TRMT112	7.36995055639289	7.08437264980545	7.15494683479626
ENSMFAG00000000557	TIMM8A	1.9573626519399	1.47667623754363	1.62740615013839
ENSMFAG00000034132	RTCA	5.0509346773942	4.72832594590506	4.75010126357746
ENSMFAG00000041287	DNAJB2	5.3229762344652	4.98419435701409	5.08071288608206
ENSMFAG00000003486	ZNF512B	2.36283038782718	2.6687940573378	2.81892340867435
ENSMFAG00000039530	AHSA1	5.55066569419865	5.21040569070025	5.10894569861166
ENSMFAG00000042455	""	6.28206377206945	6.0404776589673	6.07646056422452
ENSMFAG00000035322	ADRA2B	0.439351479963378	-1.09131653851333	-0.314426396364229
ENSMFAG00000011600	""	2.0358233001825	1.41328227592625	1.54611178673897
ENSMFAG00000033158	CDK2AP2	5.09100977616009	4.72007072977919	4.61983318792602
ENSMFAG00000041159	RNF10	5.56611951044086	5.31731206381413	5.27814324603723
ENSMFAG00000040670	COA8	4.41078333111297	4.08994270608558	4.08580583515882
ENSMFAG00000033987	DDX1	5.37383163979304	5.10459495338099	5.0250714760688
ENSMFAG00000045350	GARRE1	3.24164712954255	3.6823345036072	3.49144182416766
