Geneid	Symbol	Young_AdLibitum.log2fpkm.mean	Young_Fast.log2fpkm.mean	Young_Refeed.log2fpkm.mean	Young_GElaS
ENSMUSG00000045092.9	S1pr1	5.35102014221868	6.21412045548242	5.56443017933051	1.13006260124104
ENSMUSG00000025428.16	Atp5a1	8.20396877984988	7.7573715339194	7.92516958818641	0.19560374804805
ENSMUSG00000030124.3	Lag3	2.19495939461832	1.09934540810769	1.6669775774864	0.649654932322299
ENSMUSG00000002996.18	Hbp1	4.16698783504977	4.54358292555629	4.1921176865018	0.663957582830371
ENSMUSG00000020777.17	Acox1	7.15712343119016	7.84369687787581	7.30644643356672	0.955274395467193
ENSMUSG00000020230.16	Prmt2	2.7762495138584	2.31024969339784	2.41136087141295	0.0961181950792777
ENSMUSG00000030254.17	Rad18	-0.172961920288536	0.68212191260218	0.239190923329241	0.452946011115012
ENSMUSG00000021474.10	Sfxn1	4.58479678161548	5.26325962560243	4.90988511125913	0.479106019668703
ENSMUSG00000037526.8	Atg14	1.94631361830985	2.30121454160043	2.02379704555383	0.446854494670527
ENSMUSG00000049313.9	Sorl1	2.10547537383531	0.804021457244765	2.06526317192157	2.08103186971599
ENSMUSG00000020952.11	Scfd1	2.04697708815793	1.71760440182325	1.79460402716526	0.0706776770368379
ENSMUSG00000028194.16	Ddah1	0.545666447075049	1.97502405668702	1.52498355142605	0.435466950916361
ENSMUSG00000028681.12	Ptch2	3.28856049444372	1.57432356813525	2.79800614607799	1.87294060814874
ENSMUSG00000039382.13	Wdr45	2.65750957454404	3.13584021889479	2.57103853071241	0.831803447230484
ENSMUSG00000069495.13	Epc2	2.53286029983092	3.04400707798429	2.65013653451055	0.654112253533966
ENSMUSG00000017774.20	Myo1c	6.27585024629158	5.47241067240407	6.19323108172932	1.35585620282575
ENSMUSG00000023980.8	Taf8	2.35388612760653	2.68942863606353	2.40295154550656	0.491357151347116
ENSMUSG00000020935.9	Dcakd	3.20836789998901	3.55219165724699	3.44595700553166	0.11297302201602
ENSMUSG00000032602.7	Slc25a20	3.93464901020385	4.39878691476829	3.91818204760877	0.88901774605688
ENSMUSG00000018347.17	Zkscan6	1.9562802721485	2.48506644018668	2.12483342478708	0.555303076411346
ENSMUSG00000067787.11	Blcap	5.74000557521476	4.85628018544232	5.64081524087269	1.46241316794048
ENSMUSG00000045038.15	Prkce	2.32327711264814	3.3693747250579	3.32013149633455	0.0464980530841051
ENSMUSG00000029759.10	Pon3	4.87641197660732	5.34349702275918	5.03448271127335	0.506934000173284
ENSMUSG00000043518.8	Rai2	3.58809481574633	2.74852912164255	3.59054179324867	1.59582730830659
