Geneid	Symbol	AdLibitum.log2fpkm.mean	Fast.log2fpkm.mean	Refeed.log2fpkm.mean
ENSMFAG00000001322	LACTB	4.62723344620266	4.57909846630788	4.43587487464711
ENSMFAG00000042367	VARS2	2.74762389689735	2.77305363649658	2.77145452202519
ENSMFAG00000035527	HOOK3	3.27374176672716	3.28704005809857	3.19901348825001
ENSMFAG00000039629	CREB1	2.39892385022283	2.43105948756111	2.41709869298929
ENSMFAG00000038731	LNPEP	3.74108159539592	3.72747408630576	3.34887003070824
ENSMFAG00000040084	TRIM47	3.16697574645153	3.09783282604185	3.56727205858853
ENSMFAG00000031013	SLC25A36	3.9884314495925	3.96448244491685	4.0435650075639
ENSMFAG00000042899	CD58	2.71785935182533	2.70094126393451	2.94958225542093
ENSMFAG00000041529	TMEM131	4.36569379864719	4.35657514574121	4.20228535774281
ENSMFAG00000031925	MTR	3.14750222276001	3.20104337794887	2.99338215821762
ENSMFAG00000031784	NECAP1	2.88655986837315	2.87891821361402	2.8698623979769
ENSMFAG00000042053	CHRNB1	5.68353669375042	5.649312342736	5.63376241345365
ENSMFAG00000005189	HS1BP3	2.41892785011233	2.43902227214523	2.56690914178482
ENSMFAG00000037026	RNF34	3.67746925023316	3.6357667387456	3.6524206458894
ENSMFAG00000034582	AGAP3	3.30023131067794	3.34184673130918	3.52436025720216
ENSMFAG00000041636	SAMD4A	3.6188311606243	3.55384400049283	3.29830322734414
ENSMFAG00000034258	IL1R1	2.55909227281798	2.66929138043269	3.02777428442729
ENSMFAG00000032262	SLC3A2	5.60182524793471	5.58795932941147	5.6684048356114
ENSMFAG00000036827	NRAS	2.63951122684482	2.6813715975547	2.81365015232189
ENSMFAG00000009063	""	2.60457333198943	2.61222752917435	2.67976307062532
ENSMFAG00000053747	""	5.55200329180259	5.46609790687762	6.09020514932823
ENSMFAG00000000562	ASB5	6.79666612762091	6.86641627332185	6.44425311850902
ENSMFAG00000021939	SUN2	4.33632325399429	4.31411443280788	4.21958562467321
ENSMFAG00000014850	CDC42EP3	4.49617234127425	4.55307465880098	4.2663684489756
ENSMFAG00000002488	RAI1	1.40777111054554	1.40994642048423	1.63626705960429
ENSMFAG00000055030	""	3.95723399111063	3.94886304066056	3.95663339565643
ENSMFAG00000000962	EXOC6	3.33538629850273	3.26571126626878	3.00033191841245
ENSMFAG00000029358	ARCN1	4.67866905561057	4.66387404561889	4.67935639519974
ENSMFAG00000037265	UBE3A	5.1724197498617	5.20502868401152	4.84261983830386
ENSMFAG00000032912	POLR1B	3.93752487509173	3.94587956423936	3.61867266866047
ENSMFAG00000000656	""	1.07657802240676	1.03390092602656	0.867058963675202
ENSMFAG00000039167	RNF139	3.60973681356351	3.57653547917461	3.63971526062881
ENSMFAG00000045279	HSPA13	2.55328021790406	2.51703361359716	2.44131099976797
ENSMFAG00000062432	TMED9	4.83312531353138	4.88683790229104	5.02289804264006
ENSMFAG00000002864	VPS35L	2.4056189234176	2.44033178045801	2.55594820362333
ENSMFAG00000000807	RORC	4.90470003520222	4.97533127886392	4.51604881548297
ENSMFAG00000045296	TDP2	3.25379150660878	3.25239852270329	3.24247442264797
ENSMFAG00000055885	""	2.82242414433092	2.83560634641302	2.84497305247641
ENSMFAG00000047411	KRAS	2.21585377831058	2.24635085401029	2.23966559679109
ENSMFAG00000003160	""	1.65621274107597	1.66272568480878	1.62368037773368
ENSMFAG00000037555	KIAA2013	5.30731232000434	5.30299808618033	5.03677694829049
ENSMFAG00000062466	C10orf88	3.20921885165681	3.16318406711505	3.02238270994998
ENSMFAG00000032970	WDR45	4.06464114943478	4.09944817522489	4.21689593708412
ENSMFAG00000035998	COL5A1	3.30715150095199	3.47197350706908	4.95715833126946
ENSMFAG00000039915	METAP2	4.69651519055353	4.72417984846045	4.68367619640843
ENSMFAG00000002379	MRPL16	4.99816944955559	5.03817833000221	4.91321540069055
ENSMFAG00000038045	ABHD10	2.96624589785036	2.99510815236883	2.70377988577128
ENSMFAG00000045497	CCDC91	3.7109421539228	3.66359606358217	3.53787211141212
ENSMFAG00000063310	APOL2	4.00885745265124	4.07653159134053	3.80197954527519
ENSMFAG00000032020	S100A16	5.32120117508592	5.276671347002	5.56922276091091
ENSMFAG00000033253	LACTB2	3.11101110502808	3.07335438585321	2.89113083985816
ENSMFAG00000037614	EML3	2.48267175369185	2.49225791975871	2.81497475704171
ENSMFAG00000044115	REX1BD	6.31437954071634	6.280367701782	6.33520190222674
ENSMFAG00000045169	LRCH3	2.48281786585274	2.45246882855264	2.56290585469657
ENSMFAG00000041776	PDE4D	3.33713206058627	3.28458288268198	2.93501922982381
ENSMFAG00000040176	LATS1	1.88016601760218	1.85215783352381	1.84087913666019
ENSMFAG00000046020	KPNA1	5.57554842804131	5.56915263810393	5.14715540902067
ENSMFAG00000002743	SZT2	1.32778771558397	1.36538556446253	1.46516183179804
ENSMFAG00000042216	FRMD3	5.2629648908971	5.29512928352379	4.68390603290896
ENSMFAG00000051065	MPST	4.02166891710756	3.99121338131718	3.91999676973374
ENSMFAG00000003636	TNPO1	3.5322451565362	3.58518107573842	3.31413273427749
ENSMFAG00000040618	B4GALT7	3.21971164329325	3.19325803784447	3.24858654624076
ENSMFAG00000024756	CADM3	2.85528571892435	2.83578381046717	2.06351548747541
ENSMFAG00000045630	TRIM24	2.26122068313989	2.27170036030672	2.11404176729679
ENSMFAG00000045417	MPZL1	2.60765694123656	2.69406812229485	3.35739577286677
ENSMFAG00000060407	COMMD9	4.02121218292803	4.04390402362219	4.21089014131304
ENSMFAG00000030609	KIAA1217	3.37441063000111	3.31492674488134	3.26557824412555
ENSMFAG00000044687	E2F6	3.42649434402349	3.38004776476546	3.20899362278725
ENSMFAG00000039582	SLC22A17	2.77009857180598	2.79641000342192	2.95975807366021
ENSMFAG00000050292	MAFG	4.12299575805569	4.17231080874608	4.03358840953439
ENSMFAG00000044439	HTRA1	4.97371057844901	5.12161880880651	6.00845313706127
ENSMFAG00000038556	NDEL1	4.02357692773862	4.00082361880981	4.0984616607024
ENSMFAG00000046030	NAPG	2.97226624178722	2.99724881589392	2.75517320085766
ENSMFAG00000031110	PANK3	2.67305027226513	2.64565353119382	2.54436742366877
ENSMFAG00000034233	DDX39B	5.90221240854023	5.90629919408446	5.96382292838917
ENSMFAG00000056814	MVB12A	3.74724604803482	3.80507474107102	3.97939338833986
ENSMFAG00000035652	""	3.39725672845329	3.36576160718288	3.29198671154103
ENSMFAG00000039106	PRPSAP1	3.41088701951572	3.44085109472552	3.5389829246787
ENSMFAG00000061497	""	3.0837459274126	3.08664549998034	3.05636278567231
ENSMFAG00000031574	""	4.59941217599193	4.56378307363848	4.49093177111856
ENSMFAG00000033711	NFRKB	1.90794937677523	1.90094322853721	1.80958703300417
