Geneid	Symbol	AdLibitum.log2fpkm.mean	Fast.log2fpkm.mean	Refeed.log2fpkm.mean	GElaS
ENSMFAG00000042565	PLCG2	2.81401931658601	3.24159214384001	2.92213855695076	0.473465112372723
ENSMFAG00000051097	""	9.58440615289865	9.26762274111239	9.51151035219178	0.354999108639775
ENSMFAG00000044837	GTF3A	5.03262185383622	4.77516609558715	4.90036083122926	0.142892268246324
ENSMFAG00000031566	GTF2I	5.20635076201306	5.05140918448208	5.1157021192437	0.0701437810386036
ENSMFAG00000041941	TAF15	6.23456494572597	6.09264708433959	6.08561480470908	0
ENSMFAG00000033696	DMWD	4.02668421866591	4.21730940524745	4.02085205207462	0.349515055333271
ENSMFAG00000049396	""	0.600672088748948	1.04369859747698	0.91833317150961	0.0854494290997061
ENSMFAG00000036405	WDFY3	2.75435405191387	2.99337632623196	2.90897461564408	0.0845668006106585
ENSMFAG00000057281	""	2.61636787622129	3.02961394199902	2.88884621609938	0.143011401010605
ENSMFAG00000039739	IKBKB	4.02918261540101	4.16775277773091	4.1997495617134	0
ENSMFAG00000037607	KLHL42	2.52782820786128	2.80073434370099	2.59267998937058	0.277063679191804
ENSMFAG00000040184	FLI1	4.23259419890756	4.54618063473017	4.44054166538243	0.109863366159377
ENSMFAG00000033178	MECP2	3.41224589219452	3.62936917675959	3.51333620882868	0.133359253625514
ENSMFAG00000041671	CYB5D2	1.434752282879	1.76639534991641	1.60912311910991	0.157637392948251
ENSMFAG00000034214	AGPAT2	8.69883338044959	8.06106439184195	8.17766299854015	0.118084758048095
ENSMFAG00000044248	DOCK4	2.21953919598152	2.49180014690906	2.24630479906324	0.383902555194917
ENSMFAG00000041541	RNF150	0.825137462740804	1.22564355754001	0.912235440174969	0.395717729591741
ENSMFAG00000030067	DNAJC28	1.11887633351658	0.745190505114276	1.05272828381955	0.384014421518931
ENSMFAG00000044351	""	2.93189942412461	2.6905805395437	2.84713835231315	0.195281810204274
ENSMFAG00000038589	PPRC1	2.92137176997383	3.35509926422211	3.40117897434165	0
ENSMFAG00000034496	ALAS1	4.05466091382188	3.8478708915367	4.12703083211384	0.34929169736602
ENSMFAG00000035785	C4orf19	1.1113527631513	1.59196742904158	1.20036665810507	0.383640794717436
ENSMFAG00000031044	CBLB	1.60421362870917	1.95785416472915	1.76833164230268	0.193531601261949
ENSMFAG00000001498	PPM1A	4.34782425004592	4.55985634427429	4.42355607843515	0.175207168087217
ENSMFAG00000042408	GZF1	2.87407164185491	3.08009998791071	3.04367385180554	0.0349860091218844
ENSMFAG00000036937	INSYN2A	0.279700447054531	1.01891934349867	0.446713813279218	0.65395148011495
ENSMFAG00000003179	TBCC	4.0764926185831	3.90547900652099	4.04427427961983	0.205204743159581
ENSMFAG00000002428	TNFSF10	5.61675253980367	5.00414589939808	5.6797308807675	1.15519088814706
ENSMFAG00000034269	MVB12B	0.496318553805095	0.832697101741161	0.777497264780182	0.0397040158024641
ENSMFAG00000041424	LPL	10.4286977064073	9.91109983366046	9.87387570598881	0
ENSMFAG00000042686	TRIB2	3.42082405765879	3.72274447834874	3.4935945813025	0.323572260548272
ENSMFAG00000000231	TIMM17A	4.82336986529392	4.49561895440045	4.68725415712111	0.234690247259162
ENSMFAG00000037534	ATP5PB	6.8121117098674	6.58123117322505	6.71763748907803	0.170272561020536
ENSMFAG00000035491	HVCN1	3.53494413852313	3.02360532151163	3.39915516950183	0.516673307149435
ENSMFAG00000045309	HERPUD2	4.05435820273981	4.21298147673068	4.0563712786836	0.286961503728677
ENSMFAG00000033880	""	1.21704856464536	1.66625329308737	1.5344404241936	0.124419560165504
ENSMFAG00000065681	""	1.99920086254086	1.78880455086503	2.03770747379654	0.346516923662391
ENSMFAG00000049732	IPMK	0.990838804025871	1.48913386936424	1.19351331825195	0.283064100040249
ENSMFAG00000053013	KATNAL1	1.99704945759462	2.28038696655135	1.99566436256117	0.485156677099146
ENSMFAG00000039268	CPNE5	-0.351994628020904	0.370306571073108	0.0402865294357554	0.24528021016091
ENSMFAG00000038795	MYO6	3.12200811316761	3.3312791397247	3.06312842493335	0.353039778048893
ENSMFAG00000000503	RASA3	4.24484706700546	4.05938061480473	4.41180270407456	0.276066136296923
ENSMFAG00000036877	ITGA5	5.08692090271543	5.46420330532186	5.44689921305775	0.0167174012359718
ENSMFAG00000002679	TOM1L2	3.7507529204708	3.96537207240346	3.81028825645354	0.209821759566593
ENSMFAG00000062411	FMC1	5.7509802393376	5.46523414237239	5.44946257606088	0
ENSMFAG00000032199	""	11.5263444525857	11.3408046130373	11.376080454531	0.0358818674592536
ENSMFAG00000000208	""	0.350625924626968	0.824683473659462	0.297852497458491	0.634328423862723
ENSMFAG00000041894	""	9.32323012091338	9.07172369489827	9.34189515355833	0.4762848991322
ENSMFAG00000031753	TRPM7	3.51620987845057	3.69197939431236	3.62631795265777	0.0684880477267685
ENSMFAG00000032790	FNDC3A	3.77054034481284	3.95285800524005	3.74130430279294	0.328399180110811
ENSMFAG00000053931	""	1.33778279711032	1.59492221120959	1.4229029601596	0.191401386675323
ENSMFAG00000006791	CHCHD6	3.87675494940214	3.53538909603454	3.70885874649432	0.205089731473821
ENSMFAG00000003379	ICAM4	1.76603780099285	1.43979358724386	1.81783302123314	0.527660857054388
ENSMFAG00000041843	""	6.39025235011004	6.12541384619735	6.1678358112188	0.0426770786067997
ENSMFAG00000061989	TRIM58	-0.458582284664863	0.20517475072128	-0.160538145161113	0.292933352121337
ENSMFAG00000030614	ZKSCAN1	1.386142801167	1.8596707536081	1.49424835856292	0.486630128829924
ENSMFAG00000038848	SLC39A7	5.5405204508809	5.41253341901205	5.48147610401285	0.0819505427215928
ENSMFAG00000051718	""	3.88022105932126	4.15648419196951	4.07113164715669	0.0884625876307577
ENSMFAG00000029288	SETMAR	2.193306152578	2.44252067112813	2.26385728827319	0.233845896378664
ENSMFAG00000045799	MESP1	4.0940070399652	3.05509535502273	3.18501486042183	0.125238416699724
ENSMFAG00000064098	""	4.12318075476614	4.41896370560875	4.28289822382959	0.151296040849488
ENSMFAG00000035974	""	1.89750820556901	2.39577013641543	2.36146708397604	0.0305142164302597
ENSMFAG00000036310	HINT1	8.0265305847291	7.80766785518081	7.93504233696204	0.157413223547079
ENSMFAG00000030538	BRD1	3.28338838889289	3.47634028281033	3.41882479366641	0.0576303014520467
ENSMFAG00000035803	DUSP11	2.453867339565	2.70648923390747	2.55870756137962	0.170113334299889
ENSMFAG00000041568	""	1.98435688335058	1.74045651085311	1.91233932730018	0.208617865335932
ENSMFAG00000043287	CDV3	5.92734733728522	6.17637729234797	6.08985525853675	0.092187014845896
ENSMFAG00000007227	CFAP20	4.15231710919815	3.98619617417545	3.97014791145966	0
ENSMFAG00000044576	CD109	2.55898791801526	3.15666433147174	3.09548997681509	0.0543702193256928
ENSMFAG00000036972	FAM107B	4.99708712942221	5.4628149088154	5.45858329373462	0.00374096850138472
ENSMFAG00000038341	STYX	2.25742482461557	2.03581012382611	2.08942774869874	0.0496320066825692
ENSMFAG00000028235	ORMDL3	1.63067699114612	2.11489434537048	1.53270320020657	0.727875252988836
ENSMFAG00000031802	SURF2	3.64396881919868	3.40501029015926	3.62369735450961	0.365536791155248
ENSMFAG00000040352	SUGP2	2.94402721102911	3.23921035361581	3.22403854335756	0.0139492699539942
ENSMFAG00000044005	BBOX1	0.0792585456802793	-0.373742534144406	-0.490929739916856	0
ENSMFAG00000041812	COPS6	6.3129623884752	6.15258736078105	6.16761683497089	0.0150030364359342
ENSMFAG00000032966	CHST15	3.69215792294413	3.35217797383639	3.55103885618922	0.23696387609913
ENSMFAG00000036058	DPCD	3.94480618618401	3.72180021761926	3.76282962123735	0.0402790298493539
ENSMFAG00000042540	PEAK1	2.02605563743477	2.58398257288638	2.36642364257522	0.221358635753359
ENSMFAG00000040270	TTC1	5.26736192866351	5.1076848884606	5.1823343257614	0.084301781634571
ENSMFAG00000065327	COQ7	1.78297760153854	1.45193525568865	1.4318230808833	0
ENSMFAG00000039797	PHIP	3.01554416651857	3.45896474693419	3.3261058310266	0.133884026113051
ENSMFAG00000032999	ERC1	2.18360346132667	2.64485512752559	2.48364733561702	0.160114253201736
ENSMFAG00000030406	RHOB	7.42783888963741	7.82640416724516	7.52581970655165	0.439360412837945
